date,open,high,low,close,volume,ticker,ticker_id
2007-12-27,8.73,8.83,8.73,8.83,69360,ANV,4
2007-12-28,8.83,8.88,8.83,8.83,35830,ANV,4
2008-01-02,8.93,8.93,8.64,8.64,27230,ANV,4
2008-01-03,8.64,8.64,8.44,8.64,104800,ANV,4
2008-01-04,8.64,8.64,8.49,8.64,59020,ANV,4
2008-01-07,8.54,8.54,8.24,8.29,24710,ANV,4
2008-01-08,8.15,8.69,8.15,8.69,75010,ANV,4
2008-01-09,8.54,8.69,8.44,8.69,130910,ANV,4
2008-01-10,8.49,9.08,8.49,9.08,202270,ANV,4
2008-01-11,9.08,9.22,9.03,9.03,92930,ANV,4
2008-01-14,8.69,8.78,8.69,8.69,43000,ANV,4
2008-01-15,8.83,8.83,8.34,8.34,52150,ANV,4
2008-01-16,8.69,8.73,8.64,8.73,49180,ANV,4
2008-01-17,8.83,8.83,8.49,8.54,34360,ANV,4
2008-01-18,8.44,8.73,8.44,8.64,33110,ANV,4
2008-01-21,8.64,8.64,8.44,8.44,19830,ANV,4
2008-01-22,8.34,8.44,8.34,8.44,29900,ANV,4
2008-01-23,8.19,8.19,8.05,8.1,46850,ANV,4
2008-01-24,8.19,8.24,8.0,8.0,37680,ANV,4
2008-01-25,8.0,8.15,8.0,8.1,64210,ANV,4
2008-01-28,8.24,8.24,8.15,8.15,82860,ANV,4
2008-01-29,8.1,8.34,8.1,8.34,59660,ANV,4
2008-01-30,8.54,8.73,8.54,8.69,167950,ANV,4
2008-01-31,8.29,8.64,8.29,8.29,168790,ANV,4
2008-02-01,8.34,8.54,8.29,8.54,67390,ANV,4
2008-02-12,8.64,8.69,8.24,8.34,56190,ANV,4
2008-02-13,8.34,8.34,8.24,8.24,37410,ANV,4
2008-02-14,8.39,8.44,8.24,8.24,57250,ANV,4
2008-02-15,8.24,8.24,8.15,8.24,29860,ANV,4
2008-02-18,7.95,7.95,7.85,7.85,107840,ANV,4
2008-02-19,7.75,7.9,7.75,7.85,85570,ANV,4
2008-02-20,7.85,7.85,7.56,7.65,112540,ANV,4
2008-02-21,7.31,7.36,7.31,7.31,79410,ANV,4
2008-02-22,6.97,7.02,6.97,7.02,97210,ANV,4
2008-02-25,7.26,7.36,7.21,7.36,52490,ANV,4
2008-02-26,7.36,7.31,7.02,7.02,178520,ANV,4
2008-02-27,6.82,7.16,6.77,6.77,58250,ANV,4
2008-02-28,6.92,6.92,6.67,6.77,33750,ANV,4
2008-02-29,6.67,7.07,6.58,7.07,233120,ANV,4
2008-03-03,7.07,7.07,6.72,6.77,66340,ANV,4
2008-03-04,6.53,6.58,6.48,6.53,207480,ANV,4
2008-03-05,6.28,6.38,6.23,6.23,213560,ANV,4
2008-03-10,7.11,7.11,6.77,7.11,194590,ANV,4
2008-03-11,6.77,7.07,6.77,6.77,64100,ANV,4
2008-03-12,6.77,6.97,6.62,6.62,46590,ANV,4
2008-03-13,6.77,6.67,6.38,6.62,51230,ANV,4
2008-03-14,6.53,6.62,6.38,6.43,27250,ANV,4
2008-03-17,6.18,6.18,6.13,6.13,64380,ANV,4
2008-03-19,5.99,6.08,5.79,6.08,173220,ANV,4
2008-03-20,6.13,6.13,5.79,5.79,21410,ANV,4
2008-03-21,5.54,5.64,5.54,5.54,53550,ANV,4
2008-03-26,4.81,5.05,4.81,5.05,129430,ANV,4
2008-04-09,5.5,5.59,5.5,5.59,215860,ANV,4
2008-04-10,5.69,5.59,5.5,5.54,145490,ANV,4
2008-04-16,5.4,5.54,5.4,5.54,21190,ANV,4
2008-04-17,5.45,5.64,5.45,5.64,45930,ANV,4
2008-04-18,5.74,5.74,5.59,5.74,81150,ANV,4
2008-04-21,5.64,5.84,5.64,5.84,91710,ANV,4
2008-04-22,5.74,5.84,5.74,5.79,23130,ANV,4
2008-04-23,5.69,5.84,5.69,5.79,102870,ANV,4
2008-04-24,5.69,5.89,5.69,5.79,24220,ANV,4
2008-04-25,5.89,5.89,5.79,5.89,41090,ANV,4
2008-04-28,5.99,5.99,5.89,5.99,26980,ANV,4
2008-05-07,6.38,6.38,6.18,6.38,93790,ANV,4
2008-05-14,5.99,5.99,5.89,5.89,28430,ANV,4
2008-05-16,5.69,5.79,5.69,5.69,116640,ANV,4
2008-05-19,5.69,5.79,5.69,5.74,58870,ANV,4
2008-05-20,5.64,5.79,5.64,5.64,35420,ANV,4
2008-05-21,5.54,5.64,5.54,5.54,142720,ANV,4
2008-05-23,5.35,5.4,5.35,5.4,241850,ANV,4
2008-06-06,4.72,4.76,4.72,4.72,145120,ANV,4
2008-06-11,4.46,4.63,4.46,4.63,81530,ANV,4
2008-06-12,4.71,4.71,4.7,4.71,114460,ANV,4
2008-06-13,4.8,4.8,4.76,4.8,151850,ANV,4
2008-06-18,5.05,5.05,4.86,5.05,172050,ANV,4
2008-06-23,4.76,4.9,4.76,4.9,49790,ANV,4
2008-06-24,5.0,5.0,4.76,4.76,3430,ANV,4
2008-06-26,5.0,5.0,4.96,5.0,94640,ANV,4
2008-06-27,4.86,5.15,4.86,4.88,52600,ANV,4
2008-06-30,4.75,5.0,4.75,5.0,27340,ANV,4
2008-07-02,5.2,5.2,5.1,5.15,18930,ANV,4
2008-07-03,5.25,5.3,5.2,5.3,94480,ANV,4
2008-07-07,5.59,5.59,5.3,5.3,29020,ANV,4
2008-07-08,5.15,5.2,5.15,5.2,28190,ANV,4
2008-07-10,4.91,5.2,4.91,5.2,123800,ANV,4
2008-07-11,5.35,5.35,5.05,5.35,245990,ANV,4
2008-07-14,5.5,5.5,5.2,5.2,150920,ANV,4
2008-07-15,5.2,5.3,5.05,5.3,92560,ANV,4
2008-07-29,4.19,4.19,4.02,4.02,172380,ANV,4
2008-07-31,3.8,3.91,3.8,3.85,31590,ANV,4
2008-08-01,3.95,3.95,3.94,3.95,108040,ANV,4
2008-08-05,4.19,4.19,3.96,4.12,57160,ANV,4
2008-08-06,4.03,4.24,4.02,4.24,36830,ANV,4
2008-08-07,4.24,4.36,4.22,4.36,122670,ANV,4
2008-08-12,4.75,4.75,4.56,4.61,70600,ANV,4
2008-08-13,4.52,4.6,4.48,4.59,72590,ANV,4
2008-08-14,4.48,4.73,4.48,4.73,40800,ANV,4
2008-08-19,5.35,5.35,4.91,5.1,166980,ANV,4
2008-08-20,4.85,4.96,4.85,4.85,30360,ANV,4
2008-08-21,4.71,5.05,4.71,5.05,28100,ANV,4
2008-08-22,5.3,5.3,4.91,4.96,55620,ANV,4
2008-08-25,5.2,5.2,5.15,5.2,37040,ANV,4
2008-08-26,5.45,5.45,5.35,5.4,91040,ANV,4
2008-08-27,5.64,5.64,5.15,5.15,33390,ANV,4
2008-08-28,4.9,4.96,4.9,4.9,24760,ANV,4
2008-09-03,4.66,4.87,4.64,4.66,194590,ANV,4
2008-09-04,4.51,4.66,4.51,4.64,27810,ANV,4
2008-09-05,4.48,4.61,4.48,4.6,18690,ANV,4
2008-09-08,4.66,4.66,4.47,4.66,57410,ANV,4
2008-09-09,4.86,4.89,4.72,4.8,64630,ANV,4
2008-09-10,4.81,4.81,4.56,4.56,34340,ANV,4
2008-09-11,4.56,4.71,4.51,4.71,66590,ANV,4
2008-09-12,4.48,4.71,4.48,4.48,253500,ANV,4
2008-09-15,4.32,4.61,4.28,4.32,50460,ANV,4
2008-09-16,4.32,4.32,4.1,4.1,73960,ANV,4
2008-09-17,3.91,3.97,3.91,3.91,122850,ANV,4
2008-09-23,4.11,4.28,4.02,4.28,193830,ANV,4
2008-09-24,4.13,4.28,4.13,4.18,62800,ANV,4
2008-09-25,4.35,4.39,4.3,4.39,68280,ANV,4
2008-09-26,4.6,4.6,4.51,4.56,40880,ANV,4
2008-09-29,4.35,4.51,4.34,4.51,39570,ANV,4
2008-10-01,4.08,4.12,4.08,4.08,95840,ANV,4
2008-10-02,3.97,4.12,3.97,3.98,94040,ANV,4
2008-10-03,3.93,3.95,3.93,3.95,18960,ANV,4
2008-10-06,3.75,3.83,3.75,3.75,19200,ANV,4
2008-10-07,3.56,3.63,3.56,3.56,65180,ANV,4
2008-10-08,3.39,3.43,3.39,3.39,91270,ANV,4
2008-10-09,3.22,3.38,3.22,3.22,107280,ANV,4
2008-10-13,2.92,3.04,2.91,3.04,65510,ANV,4
2008-10-15,3.03,3.12,3.03,3.12,217830,ANV,4
2008-10-17,2.99,2.99,2.83,2.83,56530,ANV,4
2008-10-21,2.67,2.67,2.56,2.56,70040,ANV,4
2008-10-29,2.1,2.1,2.0,2.0,145080,ANV,4
2008-10-30,2.04,2.04,1.99,2.02,62610,ANV,4
2008-10-31,2.06,2.08,2.05,2.06,69830,ANV,4
2008-11-03,2.06,2.06,2.02,2.05,48900,ANV,4
2008-11-04,2.04,2.15,2.03,2.15,233360,ANV,4
2008-11-05,2.25,2.25,2.24,2.25,267320,ANV,4
2008-11-06,2.14,2.31,2.14,2.14,161050,ANV,4
2008-11-07,2.04,2.06,2.04,2.06,108160,ANV,4
2008-11-11,2.27,2.27,2.16,2.27,492620,ANV,4
2008-11-12,2.26,2.26,2.21,2.26,234620,ANV,4
2008-11-13,2.25,2.29,2.22,2.28,172920,ANV,4
2008-11-14,2.37,2.37,2.28,2.31,166500,ANV,4
2008-11-17,2.31,2.32,2.27,2.32,275030,ANV,4
2008-11-18,2.26,2.31,2.26,2.31,180230,ANV,4
2008-11-19,2.15,2.15,2.06,2.09,179890,ANV,4
2008-11-21,1.89,1.91,1.89,1.89,260020,ANV,4
2008-11-24,1.83,1.84,1.81,1.81,92320,ANV,4
2008-11-25,1.74,1.76,1.72,1.72,107740,ANV,4
2008-11-26,1.67,1.74,1.66,1.66,70180,ANV,4
2008-11-27,1.65,1.67,1.62,1.64,84330,ANV,4
2008-11-28,1.67,1.72,1.65,1.72,57810,ANV,4
2008-12-01,1.72,1.74,1.69,1.72,70080,ANV,4
2008-12-02,1.66,1.72,1.65,1.68,54940,ANV,4
2008-12-03,1.67,1.7,1.67,1.69,25500,ANV,4
2008-12-04,1.69,1.75,1.69,1.74,53970,ANV,4
2008-12-05,1.72,1.75,1.72,1.75,85880,ANV,4
2008-12-08,1.72,1.74,1.71,1.71,76550,ANV,4
2008-12-09,1.71,1.77,1.71,1.77,45560,ANV,4
2008-12-10,1.72,1.72,1.7,1.7,30080,ANV,4
2008-12-11,1.7,1.73,1.7,1.72,35990,ANV,4
2008-12-12,1.76,1.78,1.72,1.78,142620,ANV,4
2008-12-15,1.85,1.85,1.79,1.84,31900,ANV,4
2008-12-16,1.8,1.8,1.76,1.76,55940,ANV,4
2008-12-17,1.72,1.81,1.72,1.77,37110,ANV,4
2008-12-23,2.06,2.06,1.95,1.97,232580,ANV,4
2008-12-24,1.89,1.97,1.89,1.95,32250,ANV,4
2008-12-25,1.97,1.97,1.91,1.91,46820,ANV,4
2008-12-26,1.91,1.94,1.86,1.94,22780,ANV,4
2008-12-29,1.94,1.95,1.91,1.92,52630,ANV,4
2008-12-30,1.92,1.92,1.88,1.89,181110,ANV,4
2008-12-31,1.89,1.89,1.82,1.84,106130,ANV,4
2009-01-02,1.81,1.84,1.79,1.79,69270,ANV,4
2009-01-05,1.77,1.81,1.77,1.79,21190,ANV,4
2009-01-06,1.84,1.84,1.83,1.83,56430,ANV,4
2009-01-07,1.84,1.86,1.84,1.84,55890,ANV,4
2009-01-08,1.84,1.84,1.83,1.84,62510,ANV,4
2009-01-12,1.86,1.86,1.84,1.84,61270,ANV,4
2009-01-13,1.84,1.84,1.82,1.84,50060,ANV,4
2009-01-14,1.83,1.86,1.83,1.84,44780,ANV,4
2009-01-15,1.8,1.84,1.79,1.79,29600,ANV,4
2009-01-16,1.79,1.81,1.79,1.79,34260,ANV,4
2009-01-19,1.76,1.77,1.76,1.76,10880,ANV,4
2009-01-20,1.73,1.73,1.69,1.69,52520,ANV,4
2009-01-21,1.67,1.74,1.67,1.69,29490,ANV,4
2009-01-22,1.72,1.77,1.72,1.74,17990,ANV,4
2009-01-23,1.75,1.77,1.75,1.75,15290,ANV,4
2009-02-02,1.68,1.72,1.68,1.68,56660,ANV,4
2009-02-03,1.63,1.67,1.63,1.67,54920,ANV,4
2009-02-04,1.62,1.65,1.6,1.6,46300,ANV,4
