date,open,high,low,close,volume,ticker,ticker_id
2006-07-11,3.05,3.05,3.05,3.05,88400,BMP,101
2006-07-12,3.17,3.17,3.1,3.1,151690,BMP,101
2006-07-13,3.1,3.1,3.08,3.08,27770,BMP,101
2006-07-14,3.05,3.05,3.01,3.01,18100,BMP,101
2006-07-17,2.94,2.94,2.87,2.87,30970,BMP,101
2006-07-18,2.82,2.82,2.82,2.82,51920,BMP,101
2006-07-19,2.8,2.8,2.73,2.73,19760,BMP,101
2006-07-20,2.69,2.87,2.69,2.87,59600,BMP,101
2006-07-21,2.87,2.87,2.78,2.78,14550,BMP,101
2006-07-24,2.73,2.73,2.69,2.69,15150,BMP,101
2006-07-25,2.62,2.62,2.6,2.6,113460,BMP,101
2006-07-26,2.55,2.6,2.55,2.6,106560,BMP,101
2006-07-27,2.69,2.71,2.69,2.71,65820,BMP,101
2006-07-28,2.82,2.82,2.78,2.78,75180,BMP,101
2006-07-31,2.78,2.78,2.67,2.67,48330,BMP,101
2006-08-01,2.64,2.64,2.57,2.57,35760,BMP,101
2006-08-02,2.55,2.69,2.55,2.69,133050,BMP,101
2006-08-03,2.73,2.8,2.73,2.8,141160,BMP,101
2006-08-04,2.92,2.92,2.87,2.87,164950,BMP,101
2006-08-07,2.87,2.87,2.78,2.78,69930,BMP,101
2006-08-08,2.82,2.87,2.82,2.85,33250,BMP,101
2006-08-09,2.87,2.87,2.85,2.85,75630,BMP,101
2006-08-10,2.82,2.87,2.82,2.87,72900,BMP,101
2006-08-11,2.92,2.94,2.92,2.94,107520,BMP,101
2006-08-14,3.05,3.08,3.05,3.08,109620,BMP,101
2006-08-15,3.08,3.08,2.96,3.05,86840,BMP,101
2006-08-16,3.1,3.12,3.1,3.12,159490,BMP,101
2006-08-17,3.14,3.14,3.12,3.14,155380,BMP,101
2006-08-18,3.14,3.14,3.12,3.12,100360,BMP,101
2006-08-21,3.1,3.14,3.1,3.14,111380,BMP,101
2006-08-22,3.12,3.12,3.12,3.12,248350,BMP,101
2006-08-23,3.12,3.17,3.12,3.17,162610,BMP,101
2006-08-24,3.3,3.3,3.26,3.3,221220,BMP,101
2006-08-25,3.28,3.3,3.28,3.3,101840,BMP,101
2006-08-28,3.3,3.37,3.3,3.37,100940,BMP,101
2006-08-29,3.37,3.44,3.37,3.44,109570,BMP,101
2006-08-30,3.51,3.51,3.46,3.46,92820,BMP,101
2006-08-31,3.44,3.44,3.37,3.44,92930,BMP,101
2006-09-01,3.51,3.53,3.51,3.53,68520,BMP,101
2006-09-05,3.58,3.62,3.58,3.62,113610,BMP,101
2006-09-06,3.62,3.65,3.62,3.62,165790,BMP,101
2006-09-07,3.6,3.6,3.58,3.58,223950,BMP,101
2006-09-08,3.6,3.6,3.6,3.6,100800,BMP,101
2006-09-11,3.71,3.71,3.67,3.67,155440,BMP,101
2006-09-12,3.65,3.65,3.62,3.62,73950,BMP,101
2006-09-13,3.6,3.71,3.6,3.69,60580,BMP,101
2006-09-14,3.69,3.69,3.69,3.69,106750,BMP,101
2006-09-15,3.87,3.87,3.85,3.85,225440,BMP,101
2006-09-18,3.87,3.87,3.87,3.87,69320,BMP,101
2006-09-19,3.87,3.87,3.85,3.87,140910,BMP,101
2006-09-20,3.9,3.93,3.9,3.93,78250,BMP,101
2006-09-21,3.93,3.93,3.9,3.9,45460,BMP,101
2006-09-22,3.93,3.93,3.9,3.9,25800,BMP,101
2006-09-25,3.93,3.93,3.87,3.87,40170,BMP,101
2006-09-26,3.87,3.93,3.87,3.93,59310,BMP,101
2006-09-27,3.98,4.0,3.98,4.0,87090,BMP,101
2006-09-28,4.0,4.03,4.0,4.03,70630,BMP,101
2006-09-29,4.05,4.05,4.03,4.03,50890,BMP,101
2006-10-02,4.03,4.08,4.03,4.08,50050,BMP,101
2006-10-03,4.13,4.13,4.1,4.13,46670,BMP,101
2006-10-04,4.13,4.15,4.13,4.15,64840,BMP,101
2006-10-05,4.15,4.15,4.03,4.03,67240,BMP,101
2006-10-06,4.08,4.08,4.05,4.05,33430,BMP,101
2006-10-09,4.08,4.1,4.08,4.08,40810,BMP,101
2006-10-10,4.08,4.08,4.03,4.03,67510,BMP,101
2006-10-11,4.05,4.08,4.05,4.08,19820,BMP,101
2006-10-12,4.08,4.08,4.08,4.08,32500,BMP,101
2006-10-13,4.08,4.1,4.08,4.1,52480,BMP,101
2006-10-16,4.1,4.1,4.08,4.1,38800,BMP,101
2006-10-17,4.08,4.08,4.05,4.05,80680,BMP,101
2006-10-18,4.03,4.08,4.03,4.08,76160,BMP,101
2006-10-19,4.08,4.13,4.08,4.13,63010,BMP,101
2006-10-20,4.15,4.18,4.15,4.15,49830,BMP,101
2006-10-23,4.15,4.15,4.15,4.15,20710,BMP,101
2006-10-24,4.15,4.15,4.13,4.13,35490,BMP,101
2006-10-25,4.13,4.13,4.08,4.13,26710,BMP,101
2006-10-26,4.13,4.13,4.13,4.13,35750,BMP,101
2006-10-27,4.13,4.15,4.13,4.13,50190,BMP,101
2006-10-30,4.18,4.18,4.13,4.13,93240,BMP,101
2006-10-31,4.08,4.13,4.08,4.13,40270,BMP,101
2006-11-01,4.13,4.15,4.13,4.13,40730,BMP,101
2006-11-02,4.13,4.13,4.08,4.08,44100,BMP,101
2006-11-03,4.08,4.1,4.08,4.1,26380,BMP,101
2006-11-06,4.13,4.18,4.13,4.18,106500,BMP,101
2006-11-07,4.21,4.26,4.21,4.26,95870,BMP,101
2006-11-08,4.33,4.44,4.33,4.44,128490,BMP,101
2006-11-09,4.56,4.64,4.56,4.64,99280,BMP,101
2006-11-10,4.72,4.72,4.54,4.54,74770,BMP,101
2006-11-13,4.64,4.74,4.64,4.74,88440,BMP,101
2006-11-14,4.82,4.95,4.82,4.92,131640,BMP,101
2006-11-15,4.97,4.97,4.77,4.77,116030,BMP,101
2006-11-16,4.74,4.79,4.74,4.79,74340,BMP,101
2006-11-17,4.82,4.89,4.82,4.89,98300,BMP,101
2006-11-20,5.05,5.1,5.05,5.1,223620,BMP,101
2006-11-21,5.35,5.35,5.35,5.35,70190,BMP,101
2006-11-22,5.61,5.61,5.61,5.61,55540,BMP,101
2006-11-23,5.86,5.86,5.86,5.86,89280,BMP,101
2006-11-24,6.12,6.12,6.12,6.12,154600,BMP,101
2006-11-27,5.86,5.86,5.81,5.81,50510,BMP,101
2006-11-28,5.56,5.86,5.56,5.66,231350,BMP,101
2006-11-29,5.4,5.4,5.4,5.4,135160,BMP,101
2006-11-30,5.4,5.66,5.4,5.66,120200,BMP,101
2006-12-01,5.71,5.71,5.61,5.61,111970,BMP,101
2006-12-04,5.66,5.76,5.66,5.66,64970,BMP,101
2006-12-05,5.66,5.66,5.56,5.56,69780,BMP,101
2006-12-06,5.61,5.81,5.61,5.81,102900,BMP,101
2006-12-07,6.07,6.07,6.07,6.07,93410,BMP,101
2006-12-08,6.32,6.32,6.32,6.32,58440,BMP,101
2006-12-11,6.63,6.63,6.63,6.63,145220,BMP,101
2006-12-12,6.93,6.93,6.42,6.42,151940,BMP,101
2006-12-13,6.63,6.73,6.63,6.73,110580,BMP,101
2006-12-14,7.04,7.04,7.04,7.04,128780,BMP,101
2006-12-15,7.34,7.34,7.34,7.34,105910,BMP,101
2006-12-18,7.34,7.34,7.19,7.34,128790,BMP,101
2006-12-19,7.7,7.7,7.49,7.7,109750,BMP,101
2006-12-20,8.06,8.06,7.95,8.06,110010,BMP,101
2006-12-21,8.06,8.06,7.75,8.06,147010,BMP,101
2006-12-22,7.7,7.7,7.7,7.7,9550,BMP,101
2006-12-25,7.34,7.34,7.34,7.34,65550,BMP,101
2006-12-26,6.98,7.7,6.98,7.7,92900,BMP,101
2006-12-27,7.9,7.9,7.75,7.85,56650,BMP,101
2006-12-28,7.75,7.8,7.65,7.65,51200,BMP,101
2006-12-29,7.65,7.65,7.44,7.44,15610,BMP,101
2007-01-02,7.24,7.34,7.24,7.34,23910,BMP,101
2007-01-03,7.49,7.6,7.49,7.6,38060,BMP,101
2007-01-04,7.95,7.95,7.95,7.95,88460,BMP,101
2007-01-05,8.31,8.31,8.11,8.11,220860,BMP,101
2007-01-08,8.46,8.46,8.16,8.46,148870,BMP,101
2007-01-09,8.87,8.87,8.87,8.87,137900,BMP,101
2007-01-10,9.28,9.28,9.28,9.28,54130,BMP,101
2007-01-11,9.69,9.74,9.69,9.74,70210,BMP,101
2007-01-12,10.2,10.2,10.2,10.2,40590,BMP,101
2007-01-15,10.71,10.71,10.71,10.71,89690,BMP,101
2007-01-16,11.22,11.22,11.22,11.22,184780,BMP,101
2007-01-17,11.22,11.22,10.66,10.66,36560,BMP,101
2007-01-18,10.15,11.01,10.15,11.01,291870,BMP,101
2007-01-19,11.52,11.52,11.52,11.52,72130,BMP,101
2007-01-22,12.08,12.08,11.52,11.52,104660,BMP,101
2007-01-23,12.08,12.08,12.08,12.08,109810,BMP,101
2007-01-24,12.64,12.64,11.52,11.52,35210,BMP,101
2007-01-25,10.96,11.73,10.96,11.73,46170,BMP,101
2007-01-26,11.16,11.16,11.16,11.16,105850,BMP,101
2007-01-29,11.67,11.67,11.67,11.67,40390,BMP,101
2007-01-30,12.24,12.24,12.24,12.24,141950,BMP,101
2007-01-31,12.85,12.85,12.8,12.8,118550,BMP,101
2007-02-01,12.8,13.36,12.75,12.75,121040,BMP,101
2007-02-02,13.26,13.26,13.26,13.26,25180,BMP,101
2007-02-05,12.69,12.75,12.69,12.69,93340,BMP,101
2007-02-06,12.59,12.75,12.59,12.75,69460,BMP,101
2007-02-07,13.0,13.0,12.34,12.75,50210,BMP,101
2007-02-08,12.24,12.24,12.13,12.13,51800,BMP,101
2007-02-09,11.57,11.57,11.57,11.57,67020,BMP,101
2007-02-12,11.47,12.13,11.47,12.13,99890,BMP,101
2007-02-13,12.69,12.69,12.69,12.69,47720,BMP,101
2007-02-14,12.8,12.8,12.8,12.8,36660,BMP,101
2007-02-15,12.18,12.75,12.18,12.75,29050,BMP,101
2007-02-26,13.36,13.36,13.36,13.36,89580,BMP,101
2007-02-27,14.03,14.03,12.85,12.85,67420,BMP,101
2007-02-28,12.23,12.23,12.23,12.23,152230,BMP,101
2007-03-01,12.23,12.33,12.23,12.33,34480,BMP,101
2007-03-02,12.59,12.95,12.59,12.85,47330,BMP,101
2007-03-05,12.85,12.85,12.59,12.59,42230,BMP,101
2007-03-06,12.75,12.75,12.59,12.59,71280,BMP,101
2007-03-07,11.97,12.33,11.97,11.97,27070,BMP,101
2007-03-08,12.33,12.33,11.87,11.87,26960,BMP,101
2007-03-09,12.33,12.44,12.33,12.44,27680,BMP,101
2007-03-12,12.59,12.59,12.59,12.59,12220,BMP,101
2007-03-13,12.59,12.59,12.03,12.03,6380,BMP,101
2007-03-14,11.72,11.72,11.46,11.46,16360,BMP,101
2007-03-15,10.9,10.9,10.9,10.9,10570,BMP,101
2007-03-16,10.38,11.41,10.38,11.41,70660,BMP,101
2007-03-19,10.9,10.9,10.9,10.9,74240,BMP,101
2007-03-20,11.41,11.41,10.9,10.9,34680,BMP,101
2007-03-21,11.41,11.41,11.05,11.05,18330,BMP,101
2007-03-22,11.05,11.05,11.05,11.05,41660,BMP,101
2007-03-23,11.05,11.2,11.05,11.2,27750,BMP,101
2007-03-26,11.2,11.31,10.95,11.31,49890,BMP,101
2007-03-27,11.31,11.31,11.31,11.31,49170,BMP,101
2007-03-28,10.79,10.79,10.79,10.79,21360,BMP,101
2007-03-29,10.79,11.31,10.79,11.31,60300,BMP,101
2007-03-30,11.56,11.87,11.31,11.31,65980,BMP,101
2007-04-02,11.31,11.31,10.79,10.79,9070,BMP,101
2007-04-03,10.28,10.28,10.28,10.28,12350,BMP,101
2007-04-04,9.97,10.33,9.97,10.33,21130,BMP,101
2007-04-05,10.54,10.64,10.54,10.64,28500,BMP,101
2007-04-06,10.64,10.64,10.18,10.18,1170,BMP,101
2007-04-09,10.12,10.18,10.12,10.18,10210,BMP,101
2007-04-10,10.54,10.54,10.54,10.54,25340,BMP,101
2007-04-11,10.54,10.54,10.54,10.54,5500,BMP,101
2007-04-12,10.54,10.59,10.54,10.59,37960,BMP,101
2007-04-13,10.07,10.48,10.07,10.48,17300,BMP,101
2007-04-16,10.38,10.38,10.07,10.07,4190,BMP,101
2007-04-17,9.61,9.61,9.61,9.61,24920,BMP,101
2007-04-18,9.61,10.07,9.61,10.07,4860,BMP,101
2007-04-19,10.54,10.54,9.66,9.66,4590,BMP,101
2007-04-20,9.25,9.66,9.25,9.66,15370,BMP,101
2007-04-23,9.46,9.46,9.46,9.46,23320,BMP,101
2007-04-24,8.99,8.99,8.99,8.99,15930,BMP,101
2007-04-25,8.58,8.58,8.58,8.58,50290,BMP,101
2007-05-02,8.99,8.99,8.38,8.38,33140,BMP,101
2007-05-03,8.33,8.79,8.33,8.79,33380,BMP,101
2007-05-04,8.38,9.2,8.38,9.2,46280,BMP,101
2007-05-07,9.25,9.51,9.25,9.41,40040,BMP,101
2007-05-08,9.51,9.87,9.51,9.87,29550,BMP,101
2007-05-09,10.28,10.33,10.28,10.33,83640,BMP,101
2007-05-10,10.33,10.33,10.33,10.33,21170,BMP,101
2007-05-11,10.02,10.33,10.02,10.33,28880,BMP,101
2007-05-14,10.33,10.84,10.28,10.84,58030,BMP,101
2007-05-15,11.36,11.36,11.2,11.2,82110,BMP,101
2007-05-16,11.56,11.56,11.2,11.2,48350,BMP,101
2007-05-17,10.79,10.79,10.79,10.79,12550,BMP,101
2007-05-18,10.69,10.69,10.54,10.54,29630,BMP,101
2007-05-21,11.05,11.05,11.05,11.05,9920,BMP,101
2007-05-22,11.36,11.56,11.36,11.56,65090,BMP,101
2007-05-23,11.56,11.56,11.31,11.31,7850,BMP,101
2007-05-24,11.31,11.31,11.2,11.31,27360,BMP,101
2007-05-25,11.31,11.31,11.05,11.31,9250,BMP,101
2007-05-28,11.56,11.56,11.05,11.05,4130,BMP,101
2007-05-29,11.05,11.05,11.05,11.05,3220,BMP,101
2007-05-30,11.36,11.36,10.79,10.79,10260,BMP,101
2007-05-31,11.05,11.05,10.79,10.84,7300,BMP,101
2007-06-01,11.05,11.05,10.9,10.9,4660,BMP,101
2007-06-04,10.9,11.41,10.79,10.79,2500,BMP,101
2007-06-05,10.79,10.79,10.79,10.79,3580,BMP,101
2007-06-06,10.79,10.79,10.54,10.54,18940,BMP,101
2007-06-07,10.54,10.54,10.54,10.54,14650,BMP,101
2007-06-08,10.95,10.95,10.69,10.69,9270,BMP,101
2007-06-11,10.28,10.79,10.28,10.79,2700,BMP,101
2007-06-12,10.79,10.79,10.43,10.69,20340,BMP,101
2007-06-13,10.28,10.28,10.28,10.28,38670,BMP,101
2007-06-14,10.28,10.28,10.28,10.28,24090,BMP,101
2007-06-15,10.18,10.18,10.07,10.07,20750,BMP,101
2007-06-18,9.61,9.61,9.61,9.61,78370,BMP,101
2007-06-19,10.07,10.07,10.07,10.07,29650,BMP,101
2007-06-20,10.28,10.28,10.23,10.23,16400,BMP,101
2007-06-21,9.87,9.92,9.87,9.92,26250,BMP,101
2007-06-22,9.92,9.92,9.92,9.92,29790,BMP,101
2007-06-25,9.82,9.82,9.76,9.76,17330,BMP,101
2007-06-26,9.76,10.07,9.76,10.07,31020,BMP,101
2007-06-27,10.07,10.07,9.87,9.87,13970,BMP,101
2007-06-28,9.82,9.92,9.82,9.92,23020,BMP,101
2007-06-29,10.02,10.02,10.02,10.02,34760,BMP,101
2007-07-02,10.12,10.12,10.02,10.02,28010,BMP,101
2007-07-03,9.76,9.97,9.76,9.97,35920,BMP,101
2007-07-04,10.12,10.12,10.07,10.07,20040,BMP,101
2007-07-05,10.12,10.12,10.12,10.12,22860,BMP,101
2007-07-06,9.87,9.87,9.87,9.87,1000,BMP,101
2007-07-09,9.66,9.76,9.66,9.76,25050,BMP,101
2007-07-10,10.02,10.07,10.02,10.02,11160,BMP,101
2007-07-11,10.02,10.07,9.87,9.87,11090,BMP,101
2007-07-12,9.87,9.87,9.87,9.87,2740,BMP,101
2007-07-13,9.87,10.02,9.87,10.02,2790,BMP,101
2007-07-16,10.02,10.02,9.82,9.82,2150,BMP,101
