date,open,high,low,close,volume,ticker,ticker_id,hl_range,body_ratio,close_position,return_1d,obv_change,return_5d,rsi,atr_ratio,ema_ratio,bb_pctb,volume_ratio,vol_trend,macd_hist,label
2009-07-03,7.88,7.98,7.88,7.98,1100,CAN,10,0.012531328320802072,1.0,1.0,0.012690355329949332,-0.21780208851317753,-0.019656019656019708,72.69789858414254,0.04079804196159124,-0.02264350044835539,0.3909566405420946,0.12150712906135225,0.8140888412957634,0.002757520103380151,1
2009-07-06,7.88,8.35,7.77,8.25,18700,CAN,10,0.07030303030303031,0.6379310344827587,0.8275862068965524,0.03383458646616533,-0.11825396825396825,0.026119402985074647,74.16210964126698,0.041665704528965154,-0.00573487774956527,0.7094045036501377,0.49366420274551215,0.8672683491611078,0.04886962847747575,0
2009-07-07,8.35,8.35,7.77,7.93,9800,CAN,10,0.07313997477931905,0.7241379310344825,0.27586206896551746,-0.038787878787878816,-0.02765253982566877,-0.006265664160401085,69.41087966292714,0.045475110887511376,-0.010893153001147016,0.39167886824458503,0.2715433638126905,0.9915442591885505,0.029004592887733813,0
2009-07-08,7.67,7.83,7.41,7.41,19400,CAN,10,0.056680161943319825,0.6190476190476186,0.0,-0.06557377049180324,-0.00976880494952784,-0.03389830508474578,62.41342575267001,0.050202710443354025,-0.032944933884088146,-0.06311836299478586,0.6637016763599042,1.198434370355235,-0.03182762141179135,1
2009-07-09,7.88,7.88,7.51,7.62,2900,CAN,10,0.04855643044619424,0.702702702702702,0.2972972972972981,0.028340080971659853,-0.02073365231259968,-0.03299492385786795,63.992164083859514,0.04973778681110136,-0.030766616472044928,0.22073082856681367,0.17406962785114047,1.3872977450071469,-0.02150176620664615,0
2009-07-10,7.51,7.51,7.35,7.35,10500,CAN,10,0.021768707482993217,1.0,0.0,-0.03543307086614178,-0.057533375715193895,-0.07894736842105277,60.47507799412646,0.05050558951902528,-0.038324735562409895,0.07941597418393152,0.6406345332519829,1.1544105175059605,-0.03533244851984668,0
2009-07-13,7.35,7.46,7.25,7.25,4600,CAN,10,0.028965517241379305,0.47619047619047455,0.0,-0.013605442176870652,-0.12421242124212421,-0.12121212121212122,59.17779156604434,0.04961388254722034,-0.042394410340160116,0.10920266275846477,0.31878031878031876,1.1448656291365877,-0.03740744891052364,1
2009-07-14,7.72,7.72,6.83,7.46,8400,CAN,10,0.10166319448645784,0.29213483146067404,0.707865168539326,0.028965517241379413,-0.07171561051004637,-0.059268600252206816,61.066591015643034,0.053294795385633066,-0.03151007769945857,0.3202460795762337,0.7821229050279329,0.8725805864445882,-0.002740586124888228,0
2009-07-15,7.35,7.41,7.25,7.25,6200,CAN,10,0.0220689655172414,0.6249999999999972,0.0,-0.02815013404825739,-0.03288391976323578,-0.021592442645074206,58.168182930630735,0.052990436024617685,-0.03313706053153531,0.20797965041667177,0.7045454545454546,0.806708659798326,-0.0037351591607687196,1
2009-07-16,7.41,7.83,7.09,7.83,21000,CAN,10,0.09450830140485315,0.5675675675675673,1.0,0.0689084432008746,0.026384364820846905,0.027559055118110187,63.34311648166227,0.05231115303156556,-0.006299493366829778,0.64976524600322,2.046783625730994,1.1058925780850355,0.06236678817131697,0
2009-07-17,7.35,7.35,7.3,7.35,1500,CAN,10,0.0068027210884353505,0.0,1.0,-0.06130268199233724,0.057672849915682965,0.0,57.05279423421612,0.056897495306929634,-0.014942072456689659,0.3261963486945352,0.14563106796116504,1.3092054665332584,0.03185059568112522,0
2009-07-20,7.14,7.14,6.83,7.14,9600,CAN,10,0.04341736694677866,0.0,1.0,-0.02857142857142858,0.04145255224391915,-0.015172413793103523,54.5027112392343,0.059589392522780366,-0.026193815928020614,0.17460903439998937,1.0223642172523961,1.347097132601864,-0.0013135419368500434,0
2009-07-21,6.88,7.2,6.88,7.14,4200,CAN,10,0.04481792717086839,0.8124999999999987,0.8124999999999987,0.0,0.012321012321012322,-0.04289544235924936,54.5027112392343,0.05853428785478665,-0.02859970967402714,0.2066005900256001,0.47565118912797283,1.3419821462376365,-0.007837076786996827,1
2009-07-22,7.35,7.41,7.25,7.25,2000,CAN,10,0.0220689655172414,0.6249999999999972,0.0,0.01540616246498594,0.04046242774566474,0.0,55.70544768034974,0.05618869555351032,-0.022282101524808362,0.3628221417137378,0.2820874471086037,0.8258634972629302,0.007848307710014157,1
2009-07-23,7.3,7.46,7.14,7.46,6500,CAN,10,0.042895442359249365,0.5,1.0,0.028965517241379413,-0.008251348778165662,-0.047254150702426556,57.98874217688422,0.05377043810722279,-0.008577881004646515,0.6450251688603216,0.87248322147651,0.6029386798118933,0.03854179499121055,1
2009-07-24,7.41,7.88,7.41,7.88,29900,CAN,10,0.05964467005076139,1.0,1.0,0.05630026809651478,0.09183673469387756,0.07210884353741509,62.18698539137128,0.0515287988364618,0.01564613563289341,0.977972507558569,3.1842385516506924,0.5591910277737084,0.08923560400882705,1
2009-07-27,7.88,8.35,7.88,8.25,19700,CAN,10,0.05696969696969694,0.7872340425531922,0.7872340425531922,0.04695431472081224,0.19111842105263158,0.1554621848739497,65.46146947189317,0.04977151647452075,0.03908358952073754,1.0348493901526132,1.8073394495412844,0.41890999939275836,0.13061989790683548,0
2009-07-28,8.25,8.35,7.77,7.93,22200,CAN,10,0.07313997477931905,0.5517241379310349,0.27586206896551746,-0.038787878787878816,0.1180921052631579,0.11064425770308128,60.575700120573686,0.053305666923908764,0.03167173752949792,0.756524011886652,1.8078175895765471,0.9295163214281738,0.08834071782320947,0
2009-07-29,7.88,7.88,7.67,7.67,6500,CAN,10,0.02737940026075619,1.0,0.0,-0.032786885245901565,0.08954248366013072,0.0579310344827586,56.8622362796906,0.05359732914123444,0.015117444649747291,0.5555898808943622,0.5280259951259139,1.0867567987931932,0.02802858746285257,0
2009-07-30,7.83,7.88,7.62,7.62,600,CAN,10,0.034120734908136455,0.8076923076923083,0.0,-0.006518904823989535,0.06496,0.02144772117962468,56.14937176246884,0.052532711742336764,0.004902684856594952,0.5363059311500349,0.12150712906135225,1.0053906588187627,-0.00662003691812231,1
2009-07-31,7.88,7.88,7.72,7.77,3500,CAN,10,0.020592020592020612,0.6875000000000013,0.3124999999999986,0.019685039370078705,-0.017815420560747662,-0.013959390862944177,57.85632417355097,0.050228814351865055,0.006474313229507311,0.6143635132067652,0.3342884431709647,0.8080414358138307,-0.0049509829927083665,0
2009-08-03,7.51,7.67,7.51,7.51,20200,CAN,10,0.021304926764314266,0.0,0.0,-0.03346203346203347,-0.12703673018503175,-0.08969696969696972,53.937101236247024,0.05072867165381291,-0.0042420971320979994,0.3899486538421257,1.7519514310494362,0.7489834031425026,-0.03170994562858203,1
2009-08-04,7.88,7.88,7.62,7.72,16600,CAN,10,0.03367875647668391,0.6153846153846164,0.3846153846153836,0.02796271637816239,-0.02118270079435128,-0.02648171500630514,56.50020936042948,0.04924722625427234,0.0004733155520171284,0.5132644289892339,1.2999216914643696,0.807453362456038,-0.01555545790958205,0
