date,open,high,low,close,volume,ticker,ticker_id
2010-11-02,10.34,10.86,10.24,10.34,5200,ELC,26
2010-11-03,9.84,10.66,9.84,10.45,6680,ELC,26
2010-11-04,9.94,10.64,9.94,10.64,9630,ELC,26
2010-11-08,10.64,10.64,10.32,10.64,29730,ELC,26
2010-11-09,10.6,10.64,10.11,10.6,11060,ELC,26
2010-11-10,10.6,10.6,10.08,10.57,3500,ELC,26
2010-11-11,10.13,10.53,10.08,10.53,2310,ELC,26
2010-11-12,10.4,10.4,10.02,10.4,6310,ELC,26
2010-11-16,9.94,10.38,9.94,9.94,3740,ELC,26
2010-11-17,9.94,10.42,9.94,10.21,14590,ELC,26
2010-11-18,10.21,10.42,10.21,10.21,1100,ELC,26
2010-11-23,10.17,10.21,10.04,10.17,3600,ELC,26
2010-11-25,10.17,10.19,10.15,10.17,3280,ELC,26
2010-11-26,10.42,10.42,9.68,10.17,6420,ELC,26
2010-11-29,10.04,10.08,9.68,10.04,4620,ELC,26
2010-11-30,10.4,10.4,10.0,10.04,12820,ELC,26
2010-12-01,10.0,10.04,9.57,10.0,14600,ELC,26
2010-12-02,10.0,10.0,9.79,10.0,26600,ELC,26
2010-12-03,10.0,10.49,10.0,10.42,36300,ELC,26
2010-12-06,10.64,10.64,9.91,10.53,12700,ELC,26
2010-12-07,10.36,10.49,10.02,10.36,46600,ELC,26
2010-12-08,10.11,10.11,10.06,10.11,18690,ELC,26
2010-12-09,10.45,10.49,9.62,10.45,6530,ELC,26
2010-12-10,10.42,10.51,10.0,10.42,70010,ELC,26
2010-12-13,10.42,10.45,10.42,10.42,96000,ELC,26
2010-12-14,10.42,10.42,9.91,10.42,49060,ELC,26
2010-12-15,10.42,10.42,10.0,10.0,99100,ELC,26
2010-12-16,10.0,10.42,9.51,10.42,237200,ELC,26
2010-12-17,10.45,10.45,10.0,10.45,134500,ELC,26
2010-12-20,10.42,10.64,10.17,10.42,109500,ELC,26
2010-12-21,10.38,10.42,10.17,10.38,230970,ELC,26
2010-12-22,10.3,10.42,10.13,10.3,152630,ELC,26
2010-12-23,10.0,10.6,9.83,10.0,150740,ELC,26
2010-12-24,9.62,10.02,9.62,9.98,92000,ELC,26
2010-12-27,9.98,10.3,9.96,10.08,93000,ELC,26
2010-12-28,10.08,10.17,9.6,9.66,145870,ELC,26
2010-12-29,9.38,9.79,9.25,9.79,129100,ELC,26
2010-12-30,9.79,9.57,9.3,9.32,162090,ELC,26
2010-12-31,9.32,9.77,9.34,9.77,61080,ELC,26
2011-01-04,9.77,10.23,9.74,10.23,74550,ELC,26
2011-01-05,10.23,10.4,10.21,10.21,56050,ELC,26
2011-01-06,10.21,10.21,9.7,9.7,108300,ELC,26
2011-01-07,9.7,9.7,9.23,9.28,113030,ELC,26
2011-01-10,9.11,9.36,9.06,9.3,48200,ELC,26
2011-01-11,9.3,9.47,8.98,9.36,58900,ELC,26
2011-01-12,9.15,9.47,9.15,9.3,65330,ELC,26
2011-01-13,9.3,9.57,9.3,9.57,55380,ELC,26
2011-01-14,9.57,9.68,9.47,9.64,43120,ELC,26
2011-01-17,9.19,9.98,9.17,9.62,46300,ELC,26
2011-01-18,9.36,9.68,9.25,9.36,75170,ELC,26
2011-01-19,9.36,9.47,9.36,9.47,61200,ELC,26
2011-01-20,9.36,9.49,9.36,9.49,82530,ELC,26
2011-01-21,9.49,9.51,9.36,9.51,135030,ELC,26
2011-01-24,9.36,9.45,9.36,9.36,60730,ELC,26
2011-01-25,9.25,9.53,9.25,9.32,30350,ELC,26
2011-01-26,9.19,9.43,9.17,9.36,46100,ELC,26
2011-01-27,9.57,9.57,9.36,9.47,34000,ELC,26
2011-01-28,9.47,9.94,9.47,9.79,102660,ELC,26
2011-02-08,10.19,10.19,9.79,10.0,39850,ELC,26
2011-02-09,10.0,10.0,9.79,9.79,44550,ELC,26
2011-02-10,9.79,9.79,9.62,9.62,29240,ELC,26
2011-02-11,9.79,9.94,9.79,9.94,112480,ELC,26
2011-02-14,9.94,9.98,9.79,9.94,30140,ELC,26
2011-02-15,9.79,9.96,9.79,9.79,25300,ELC,26
2011-02-16,9.87,9.89,9.81,9.87,52710,ELC,26
2011-02-17,9.94,9.94,9.79,9.87,75610,ELC,26
2011-02-18,9.77,9.89,9.74,9.89,28700,ELC,26
2011-02-21,9.43,9.68,9.4,9.4,22390,ELC,26
2011-02-22,9.04,9.15,8.94,9.06,56910,ELC,26
2011-02-23,9.47,9.47,9.15,9.15,17770,ELC,26
2011-02-24,9.06,9.06,8.94,8.94,37280,ELC,26
2011-02-25,8.94,9.04,8.83,9.04,37550,ELC,26
2011-02-28,9.04,9.04,8.94,8.98,14590,ELC,26
2011-03-01,8.72,8.98,8.72,8.98,21010,ELC,26
2011-03-02,8.91,8.91,8.53,8.53,17380,ELC,26
2011-03-03,8.62,8.72,8.51,8.51,86950,ELC,26
2011-03-04,8.51,8.53,8.51,8.51,93750,ELC,26
2011-03-07,8.3,8.51,8.3,8.51,37500,ELC,26
2011-03-08,8.3,8.51,8.3,8.51,5080,ELC,26
2011-03-09,8.49,8.49,8.47,8.47,18500,ELC,26
2011-03-10,8.49,8.51,8.43,8.47,49270,ELC,26
2011-03-11,8.51,8.51,8.45,8.47,35850,ELC,26
2011-03-14,8.51,8.51,8.3,8.47,19390,ELC,26
2011-03-15,8.47,8.47,8.36,8.36,24300,ELC,26
2011-03-16,8.19,8.34,8.19,8.34,22450,ELC,26
2011-03-17,8.43,8.43,7.94,8.34,24600,ELC,26
2011-03-18,8.32,8.32,8.25,8.28,21600,ELC,26
2011-03-21,8.25,8.28,8.06,8.28,54530,ELC,26
2011-03-22,8.25,8.25,7.98,8.08,30050,ELC,26
2011-03-23,8.28,8.28,7.87,8.08,36680,ELC,26
2011-03-24,8.06,8.06,7.87,7.98,18930,ELC,26
2011-03-25,7.87,7.87,7.66,7.7,21500,ELC,26
2011-03-28,7.87,8.06,7.55,7.72,54810,ELC,26
2011-03-29,7.68,7.98,7.36,7.98,38860,ELC,26
2011-03-30,8.02,8.02,7.62,7.66,35010,ELC,26
2011-03-31,7.87,7.87,7.66,7.66,69440,ELC,26
2011-04-01,7.83,7.83,7.28,7.28,64920,ELC,26
2011-04-04,7.64,7.64,7.28,7.64,98840,ELC,26
2011-04-05,7.91,7.91,7.4,7.72,152210,ELC,26
2011-04-06,7.45,8.11,7.45,8.11,130410,ELC,26
2011-04-07,7.87,8.02,7.87,7.96,87200,ELC,26
2011-04-08,7.57,8.02,7.57,8.02,68340,ELC,26
2011-04-13,8.0,8.23,7.77,8.23,92050,ELC,26
2011-04-14,8.0,8.08,7.98,8.08,84210,ELC,26
2011-04-15,8.38,8.38,7.85,7.85,74260,ELC,26
2011-04-18,7.85,7.85,7.55,7.85,53480,ELC,26
2011-04-19,7.66,7.87,7.66,7.85,106000,ELC,26
2011-04-20,7.74,7.87,7.74,7.85,114250,ELC,26
2011-04-21,7.79,7.83,7.51,7.51,76000,ELC,26
2011-04-22,7.55,7.81,7.55,7.81,60330,ELC,26
2011-04-25,7.77,7.83,7.51,7.83,69900,ELC,26
2011-04-26,7.68,7.96,7.68,7.85,74120,ELC,26
2011-04-27,8.18,8.18,7.76,7.87,78230,ELC,26
2011-04-28,7.9,7.9,7.5,7.9,176530,ELC,26
2011-04-29,7.9,7.9,7.58,7.58,45890,ELC,26
2011-05-04,7.74,7.74,7.65,7.65,41000,ELC,26
2011-05-05,7.67,7.67,7.32,7.61,43320,ELC,26
2011-05-06,7.54,7.54,7.32,7.32,47770,ELC,26
2011-05-09,7.52,7.52,7.41,7.47,57090,ELC,26
2011-05-10,7.47,7.47,7.45,7.45,43320,ELC,26
2011-05-11,7.12,7.47,7.12,7.23,42000,ELC,26
2011-05-12,7.16,7.27,7.16,7.27,49370,ELC,26
2011-05-13,7.27,7.27,7.21,7.25,65080,ELC,26
2011-05-16,7.19,7.21,6.9,6.9,51390,ELC,26
2011-05-17,6.94,7.01,6.94,6.96,31530,ELC,26
2011-05-18,6.99,7.1,6.7,7.1,55630,ELC,26
2011-05-19,7.12,7.32,7.12,7.27,56520,ELC,26
2011-05-20,7.21,7.21,6.92,6.92,116260,ELC,26
2011-05-23,6.9,7.1,6.59,6.9,51890,ELC,26
2011-05-24,6.9,6.99,6.56,6.56,91020,ELC,26
2011-05-25,6.25,6.65,6.25,6.25,46500,ELC,26
2011-05-26,6.25,6.39,5.94,6.39,55300,ELC,26
2011-05-27,6.39,6.41,6.21,6.41,36420,ELC,26
2011-05-30,6.1,6.39,6.1,6.23,65300,ELC,26
2011-05-31,5.99,6.21,5.99,6.08,44440,ELC,26
2011-06-01,6.21,6.32,6.1,6.3,27330,ELC,26
2011-06-02,6.32,6.52,6.3,6.5,35440,ELC,26
2011-06-03,6.52,6.54,6.37,6.37,25020,ELC,26
2011-06-06,6.37,6.43,6.05,6.05,61880,ELC,26
2011-06-07,6.32,6.34,6.25,6.28,44180,ELC,26
2011-06-08,6.32,6.32,6.21,6.32,38700,ELC,26
2011-06-09,6.32,6.61,6.32,6.61,40820,ELC,26
2011-06-10,6.76,6.76,6.65,6.76,44400,ELC,26
2011-06-13,6.76,6.76,6.65,6.65,44310,ELC,26
2011-06-14,6.43,6.68,6.43,6.61,44650,ELC,26
2011-06-15,6.65,6.65,6.52,6.52,37100,ELC,26
2011-06-16,6.45,6.52,6.43,6.5,51020,ELC,26
2011-06-17,6.65,6.7,6.43,6.43,43170,ELC,26
2011-06-20,6.48,6.56,6.48,6.54,35300,ELC,26
2011-06-21,6.65,6.65,6.59,6.59,56700,ELC,26
2011-06-22,6.65,6.65,6.43,6.52,49600,ELC,26
2011-06-23,6.52,6.52,6.43,6.5,40910,ELC,26
2011-06-24,6.81,6.81,6.43,6.43,27640,ELC,26
2011-06-27,6.45,6.5,6.43,6.43,44430,ELC,26
