date,open,high,low,close,volume,ticker,ticker_id
2003-05-20,2.11,2.13,2.11,2.13,3440,GIL,33
2003-05-21,2.11,2.14,2.11,2.14,3600,GIL,33
2003-05-22,2.14,2.14,2.13,2.13,5270,GIL,33
2003-05-26,2.15,2.15,2.13,2.13,120,GIL,33
2003-05-27,2.12,2.13,2.12,2.13,4410,GIL,33
2003-05-30,2.11,2.13,2.11,2.13,1400,GIL,33
2003-06-02,2.23,2.23,2.11,2.11,3030,GIL,33
2003-06-06,2.11,2.13,2.11,2.13,40,GIL,33
2003-06-16,2.13,2.13,2.11,2.11,100,GIL,33
2003-06-17,2.11,2.11,2.1,2.1,240,GIL,33
2003-06-19,2.16,2.16,2.11,2.11,100,GIL,33
2003-06-20,2.11,2.16,2.11,2.16,10,GIL,33
2003-06-26,2.13,2.13,2.11,2.11,350,GIL,33
2003-06-27,2.11,2.13,2.11,2.13,20,GIL,33
2003-06-30,2.11,2.13,2.11,2.13,770,GIL,33
2003-07-10,2.11,2.11,2.1,2.1,1010,GIL,33
2003-07-14,2.13,2.13,2.11,2.11,1320,GIL,33
2003-07-18,2.11,2.11,2.1,2.1,2040,GIL,33
2003-07-21,2.1,2.1,2.07,2.07,2010,GIL,33
2003-07-22,2.07,2.07,2.04,2.04,4210,GIL,33
2003-07-23,2.04,2.07,2.04,2.07,10,GIL,33
2003-07-29,2.07,2.07,2.04,2.04,500,GIL,33
2003-07-30,2.04,2.06,2.04,2.06,20,GIL,33
2003-07-31,2.06,2.06,2.04,2.04,400,GIL,33
2003-08-04,1.98,1.98,1.85,1.85,1390,GIL,33
2003-08-05,1.85,1.85,1.77,1.77,9230,GIL,33
2003-08-06,1.77,1.77,1.73,1.73,1680,GIL,33
2003-08-07,1.73,1.73,1.69,1.69,2520,GIL,33
2003-08-08,1.69,1.69,1.67,1.67,6360,GIL,33
2003-08-11,1.66,1.66,1.63,1.63,2140,GIL,33
2003-08-12,1.63,1.64,1.63,1.64,1550,GIL,33
2003-08-13,1.64,1.69,1.64,1.69,60,GIL,33
2003-08-15,1.77,1.77,1.72,1.72,10130,GIL,33
2003-08-22,1.72,1.73,1.72,1.73,1110,GIL,33
2003-08-29,1.7,1.72,1.7,1.72,9900,GIL,33
2003-09-04,1.67,1.72,1.67,1.72,20,GIL,33
2003-09-05,1.68,1.69,1.68,1.69,4400,GIL,33
2003-09-10,1.68,1.69,1.68,1.69,4200,GIL,33
