date,open,high,low,close,volume,ticker,ticker_id
2009-06-11,2.78,2.78,2.76,2.78,909580,HCM,38
2009-06-15,3.06,3.06,3.02,3.06,858330,HCM,38
2009-06-16,2.98,3.06,2.92,2.92,192300,HCM,38
2009-06-18,2.9,2.9,2.65,2.67,870410,HCM,38
2009-06-19,2.71,2.71,2.55,2.61,387420,HCM,38
2009-06-22,2.49,2.51,2.49,2.49,331730,HCM,38
2009-06-24,2.49,2.49,2.47,2.49,694930,HCM,38
2009-06-25,2.57,2.57,2.37,2.37,337330,HCM,38
2009-06-26,2.27,2.43,2.27,2.35,330390,HCM,38
2009-06-29,2.39,2.47,2.37,2.47,297910,HCM,38
2009-06-30,2.47,2.47,2.35,2.35,250170,HCM,38
2009-07-02,2.2,2.27,2.14,2.22,347590,HCM,38
2009-07-03,2.14,2.2,2.12,2.16,329670,HCM,38
2009-07-06,2.2,2.25,2.2,2.25,218360,HCM,38
2009-07-07,2.23,2.29,2.2,2.25,153750,HCM,38
2009-07-08,2.25,2.35,2.25,2.35,407630,HCM,38
2009-07-09,2.43,2.47,2.39,2.47,399850,HCM,38
2009-07-10,2.47,2.47,2.35,2.35,301710,HCM,38
2009-07-13,2.35,2.35,2.23,2.23,166480,HCM,38
2009-07-14,2.23,2.23,2.16,2.18,206630,HCM,38
2009-07-15,2.2,2.27,2.18,2.27,155010,HCM,38
2009-07-16,2.37,2.37,2.31,2.35,226180,HCM,38
2009-07-17,2.29,2.33,2.25,2.25,109340,HCM,38
2009-07-20,2.2,2.2,2.16,2.16,126180,HCM,38
2009-07-21,2.16,2.22,2.12,2.14,105350,HCM,38
2009-07-22,2.16,2.16,2.1,2.14,113980,HCM,38
2009-07-23,2.1,2.23,2.08,2.23,125780,HCM,38
2009-07-28,2.55,2.55,2.51,2.51,1179810,HCM,38
2009-07-29,2.59,2.61,2.51,2.55,357910,HCM,38
2009-07-30,2.47,2.53,2.45,2.47,153170,HCM,38
2009-07-31,2.53,2.59,2.51,2.59,211700,HCM,38
2009-08-03,2.59,2.67,2.51,2.59,218920,HCM,38
2009-08-04,2.67,2.69,2.63,2.67,279050,HCM,38
2009-08-05,2.63,2.69,2.61,2.65,250320,HCM,38
2009-08-06,2.65,2.69,2.59,2.59,266100,HCM,38
2009-08-07,2.55,2.61,2.55,2.55,155730,HCM,38
2009-08-10,2.55,2.67,2.55,2.63,181020,HCM,38
2009-08-11,2.61,2.65,2.59,2.61,91000,HCM,38
2009-08-12,2.65,2.67,2.57,2.57,164290,HCM,38
2009-08-13,2.65,2.65,2.61,2.61,175780,HCM,38
2009-08-14,2.61,2.63,2.61,2.61,168930,HCM,38
2009-08-17,2.61,2.61,2.53,2.53,98740,HCM,38
2009-08-18,2.49,2.53,2.47,2.51,183000,HCM,38
2009-08-19,2.55,2.57,2.51,2.55,153710,HCM,38
2009-08-20,2.59,2.59,2.55,2.57,106110,HCM,38
2009-08-21,2.67,2.69,2.65,2.69,812500,HCM,38
2009-08-24,2.69,2.76,2.67,2.72,212470,HCM,38
2009-08-25,2.69,2.72,2.65,2.67,166120,HCM,38
2009-08-26,2.67,2.69,2.63,2.63,137800,HCM,38
2009-08-27,2.63,2.63,2.59,2.61,222860,HCM,38
2009-08-28,2.65,2.65,2.61,2.63,213540,HCM,38
2009-08-31,2.74,2.74,2.69,2.74,588590,HCM,38
2009-09-01,2.88,2.88,2.74,2.88,553420,HCM,38
2009-09-03,2.94,3.02,2.88,2.94,761530,HCM,38
2009-09-04,2.8,2.96,2.8,2.8,396680,HCM,38
2009-09-07,2.72,2.78,2.67,2.72,377780,HCM,38
2009-09-08,2.84,2.84,2.74,2.84,459940,HCM,38
2009-09-09,2.82,2.88,2.78,2.82,245280,HCM,38
2009-09-10,2.92,2.92,2.82,2.92,506290,HCM,38
2009-09-11,2.98,3.0,2.94,3.0,530400,HCM,38
2009-09-14,3.0,3.06,2.98,3.06,344610,HCM,38
2009-09-15,3.14,3.16,3.06,3.16,556000,HCM,38
2009-09-16,3.22,3.23,3.1,3.1,394850,HCM,38
2009-09-17,3.1,3.12,2.98,3.04,504140,HCM,38
2009-09-18,3.0,3.06,3.0,3.06,955470,HCM,38
2009-09-21,3.08,3.12,3.08,3.08,354390,HCM,38
2009-09-22,3.08,3.22,3.06,3.2,698600,HCM,38
2009-09-23,3.35,3.35,3.22,3.23,790500,HCM,38
2009-09-24,3.18,3.23,3.14,3.18,336630,HCM,38
2009-09-25,3.14,3.22,3.12,3.22,369320,HCM,38
2009-09-28,3.37,3.37,3.25,3.35,747990,HCM,38
2009-09-29,3.35,3.35,3.23,3.25,512080,HCM,38
2009-09-30,3.25,3.25,3.14,3.14,429950,HCM,38
2009-10-01,3.12,3.14,3.02,3.02,498290,HCM,38
2009-10-02,2.94,3.0,2.88,2.94,673900,HCM,38
2009-10-05,2.98,3.0,2.86,2.92,267890,HCM,38
2009-10-06,2.96,2.96,2.9,2.9,248900,HCM,38
2009-10-07,2.9,3.04,2.9,3.04,294630,HCM,38
2009-10-08,3.08,3.18,3.04,3.18,482390,HCM,38
2009-10-09,3.33,3.33,3.29,3.33,838230,HCM,38
2009-10-12,3.45,3.49,3.39,3.49,747410,HCM,38
2009-10-13,3.41,3.53,3.41,3.41,535450,HCM,38
2009-10-14,3.41,3.57,3.41,3.57,590870,HCM,38
