date,open,high,low,close,volume,ticker,ticker_id
2007-10-26,6.72,6.72,6.67,6.67,62400,HDC,40
2007-10-31,5.77,6.24,5.77,6.05,318140,HDC,40
2007-11-01,6.01,6.2,6.01,6.1,64970,HDC,40
2007-11-02,6.1,6.1,5.86,5.86,42500,HDC,40
2007-11-05,5.67,5.86,5.63,5.67,72010,HDC,40
2007-11-06,5.67,5.67,5.44,5.44,45410,HDC,40
2007-11-07,5.3,5.39,5.2,5.25,86230,HDC,40
2007-11-09,5.63,5.67,5.49,5.67,127250,HDC,40
2007-11-12,5.67,5.67,5.39,5.39,52120,HDC,40
2007-11-13,5.39,5.39,5.15,5.15,47880,HDC,40
2007-11-14,5.15,5.39,5.15,5.39,45010,HDC,40
2007-11-15,5.3,5.39,5.25,5.25,43770,HDC,40
2007-11-16,5.2,5.3,5.2,5.2,17160,HDC,40
2007-11-19,5.06,5.15,5.06,5.15,14490,HDC,40
2007-11-20,5.11,5.15,5.01,5.06,20300,HDC,40
2007-11-21,4.87,4.92,4.82,4.82,64510,HDC,40
2007-11-22,4.78,4.92,4.78,4.87,42590,HDC,40
2007-11-23,4.73,4.82,4.73,4.82,32000,HDC,40
2007-11-28,5.06,5.39,5.06,5.3,131370,HDC,40
2007-11-29,5.3,5.3,5.2,5.3,67090,HDC,40
2007-11-30,5.25,5.25,5.15,5.2,64330,HDC,40
2007-12-03,5.2,5.25,5.2,5.2,101750,HDC,40
2007-12-04,5.39,5.44,5.34,5.44,174120,HDC,40
2007-12-05,5.44,5.44,5.34,5.34,82200,HDC,40
2007-12-06,5.44,5.49,5.34,5.49,75320,HDC,40
2007-12-07,5.49,5.49,5.39,5.44,30080,HDC,40
2007-12-10,5.39,5.39,5.3,5.3,19740,HDC,40
2007-12-11,5.2,5.3,5.15,5.15,16140,HDC,40
2007-12-12,5.06,5.2,5.06,5.15,31840,HDC,40
2007-12-13,5.15,5.15,5.01,5.01,30110,HDC,40
2007-12-14,4.87,5.06,4.87,4.92,17730,HDC,40
2007-12-17,5.01,5.01,4.82,4.82,33880,HDC,40
2007-12-18,4.82,4.97,4.82,4.97,8160,HDC,40
2007-12-20,5.3,5.3,5.06,5.11,29070,HDC,40
2007-12-21,5.15,5.15,5.06,5.15,15900,HDC,40
2007-12-24,5.06,5.15,5.01,5.06,12950,HDC,40
2007-12-25,5.06,5.06,4.97,5.01,22480,HDC,40
2007-12-26,5.01,5.06,4.97,5.06,26270,HDC,40
2007-12-27,5.11,5.15,5.01,5.06,51430,HDC,40
2008-01-02,5.01,5.11,5.01,5.01,7240,HDC,40
2008-01-03,4.97,5.06,4.97,5.01,8200,HDC,40
2008-01-04,4.92,4.97,4.87,4.87,23030,HDC,40
2008-01-07,4.78,4.82,4.66,4.66,43450,HDC,40
2008-01-08,4.66,4.78,4.66,4.71,26020,HDC,40
2008-01-09,4.73,4.73,4.66,4.66,10890,HDC,40
2008-01-10,4.45,4.54,4.45,4.47,13340,HDC,40
2008-01-11,4.47,4.59,4.49,4.49,21300,HDC,40
2008-01-14,4.3,4.35,4.28,4.28,17240,HDC,40
2008-01-15,4.09,4.11,4.07,4.07,38380,HDC,40
2008-01-17,4.47,4.47,4.26,4.3,56200,HDC,40
2008-01-18,4.26,4.49,4.21,4.49,16390,HDC,40
