date,open,high,low,close,volume,ticker,ticker_id
2010-03-01,3.32,3.32,3.26,3.29,31430,HDG,41
2010-03-02,3.29,3.35,3.29,3.29,64440,HDG,41
2010-03-03,3.32,3.38,3.29,3.38,100070,HDG,41
2010-03-04,3.46,3.46,3.41,3.41,29400,HDG,41
2010-03-05,3.55,3.55,3.41,3.55,125640,HDG,41
2010-03-08,3.61,3.72,3.55,3.7,39760,HDG,41
2010-03-09,3.7,3.7,3.64,3.64,40470,HDG,41
2010-03-10,3.64,3.81,3.64,3.78,153290,HDG,41
2010-03-11,3.84,3.95,3.81,3.95,86700,HDG,41
2010-03-12,4.1,4.13,3.95,4.13,135890,HDG,41
2010-03-15,4.21,4.33,4.21,4.33,100270,HDG,41
2010-03-16,4.27,4.42,4.16,4.3,135810,HDG,41
2010-03-17,4.42,4.42,4.27,4.27,90920,HDG,41
2010-03-18,4.27,4.36,4.19,4.36,70030,HDG,41
2010-03-19,4.39,4.39,4.27,4.27,66350,HDG,41
2010-03-22,4.21,4.21,4.07,4.1,123570,HDG,41
2010-03-23,4.1,4.1,3.9,3.93,191400,HDG,41
2010-03-24,3.95,4.1,3.95,4.1,189240,HDG,41
2010-03-25,4.01,4.19,3.95,4.1,80310,HDG,41
2010-03-26,4.1,4.16,4.07,4.16,56800,HDG,41
2010-03-29,4.16,4.27,4.13,4.24,57820,HDG,41
2010-03-30,4.13,4.24,4.04,4.04,103050,HDG,41
2010-03-31,4.04,4.16,4.01,4.01,51530,HDG,41
2010-04-01,4.04,4.13,4.01,4.13,53340,HDG,41
2010-04-02,4.21,4.33,4.21,4.33,259190,HDG,41
2010-04-05,4.47,4.47,4.3,4.47,177200,HDG,41
2010-04-06,4.47,4.56,4.45,4.45,132400,HDG,41
2010-04-07,4.47,4.5,4.36,4.47,160400,HDG,41
2010-04-08,4.5,4.53,4.47,4.5,146000,HDG,41
2010-04-09,4.53,4.71,4.5,4.71,278650,HDG,41
2010-04-13,5.1,5.14,5.01,5.01,373110,HDG,41
2010-04-14,5.1,5.1,4.88,4.88,103990,HDG,41
2010-04-15,4.88,4.92,4.75,4.84,142690,HDG,41
2010-04-16,4.84,5.05,4.84,5.01,149110,HDG,41
2010-04-19,4.97,5.01,4.88,4.88,104310,HDG,41
2010-04-20,4.88,4.97,4.71,4.71,57970,HDG,41
2010-04-21,4.88,4.88,4.71,4.88,36500,HDG,41
2010-04-22,4.97,4.97,4.84,4.84,55010,HDG,41
2010-04-26,4.92,4.92,4.84,4.84,59100,HDG,41
2010-04-27,4.84,4.92,4.79,4.79,65390,HDG,41
2010-04-28,4.75,4.88,4.75,4.84,56590,HDG,41
2010-04-29,4.92,5.05,4.92,5.01,180150,HDG,41
2010-05-04,5.14,5.14,5.01,5.05,136420,HDG,41
2010-05-05,4.92,5.1,4.92,4.97,90530,HDG,41
2010-05-06,5.01,5.01,4.92,4.92,73810,HDG,41
2010-05-07,4.84,4.88,4.75,4.75,153740,HDG,41
2010-05-10,4.71,4.75,4.62,4.71,86080,HDG,41
2010-05-11,4.75,4.75,4.66,4.66,99270,HDG,41
2010-05-12,4.66,4.71,4.57,4.57,185140,HDG,41
2010-05-13,4.75,4.75,4.57,4.57,68310,HDG,41
2010-05-14,4.57,4.66,4.57,4.57,58940,HDG,41
2010-05-17,4.49,4.53,4.44,4.49,75470,HDG,41
2010-05-18,4.36,4.44,4.31,4.36,130210,HDG,41
2010-05-19,4.29,4.49,4.29,4.29,86030,HDG,41
2010-05-20,4.2,4.49,4.2,4.49,104780,HDG,41
2010-05-21,4.27,4.33,4.27,4.27,123020,HDG,41
2010-05-24,4.29,4.31,4.18,4.29,14260,HDG,41
2010-05-25,4.27,4.29,4.23,4.27,46120,HDG,41
2010-05-26,4.36,4.36,4.25,4.33,24050,HDG,41
2010-05-27,4.4,4.4,4.27,4.31,23800,HDG,41
2010-05-28,4.31,4.49,4.29,4.49,127330,HDG,41
2010-05-31,4.29,4.4,4.29,4.36,31050,HDG,41
2010-06-01,4.4,4.4,4.36,4.36,9160,HDG,41
2010-06-02,4.36,4.36,4.27,4.36,10550,HDG,41
2010-06-03,4.31,4.36,4.31,4.31,31420,HDG,41
2010-06-04,4.27,4.33,4.27,4.27,9530,HDG,41
2010-06-07,4.23,4.31,4.2,4.23,24560,HDG,41
2010-06-08,4.16,4.27,4.16,4.23,13930,HDG,41
2010-06-09,4.23,4.31,4.2,4.27,18710,HDG,41
2010-06-11,4.29,4.31,4.27,4.29,24260,HDG,41
2010-06-14,4.25,4.33,4.25,4.31,23530,HDG,41
2010-06-15,4.31,4.31,4.29,4.31,8250,HDG,41
2010-06-16,4.31,4.36,4.31,4.33,8520,HDG,41
2010-06-17,4.33,4.33,4.29,4.31,31300,HDG,41
2010-06-18,4.31,4.33,4.27,4.29,70810,HDG,41
2010-06-21,4.29,4.33,4.27,4.33,38240,HDG,41
2010-06-22,4.31,4.31,4.25,4.25,25980,HDG,41
2010-06-23,4.2,4.4,4.2,4.4,103570,HDG,41
2010-06-24,4.44,4.44,4.27,4.27,41870,HDG,41
2010-06-25,4.29,4.33,4.29,4.29,64510,HDG,41
2010-06-28,4.25,4.31,4.25,4.25,2750,HDG,41
2010-06-29,4.29,4.31,4.27,4.29,42340,HDG,41
2010-06-30,4.29,4.29,4.23,4.29,26660,HDG,41
2010-07-01,4.23,4.29,4.23,4.27,56500,HDG,41
2010-07-02,4.29,4.29,4.25,4.27,52680,HDG,41
2010-07-05,4.27,4.29,4.27,4.27,23380,HDG,41
2010-07-06,4.27,4.27,4.25,4.27,40280,HDG,41
2010-07-07,4.23,4.27,4.23,4.23,4960,HDG,41
2010-07-08,4.23,4.27,4.23,4.27,43550,HDG,41
