date,open,high,low,close,volume,ticker,ticker_id
2008-12-25,1.47,1.48,1.41,1.41,209190,HSG,43
2008-12-26,1.36,1.43,1.35,1.43,294520,HSG,43
2008-12-29,1.4,1.42,1.37,1.38,153170,HSG,43
2008-12-30,1.37,1.4,1.36,1.4,228490,HSG,43
2008-12-31,1.37,1.38,1.36,1.37,239090,HSG,43
2009-01-02,1.33,1.36,1.33,1.35,278840,HSG,43
2009-01-05,1.36,1.42,1.35,1.42,479070,HSG,43
2009-01-06,1.45,1.48,1.45,1.48,631790,HSG,43
2009-01-07,1.54,1.54,1.48,1.49,539930,HSG,43
2009-01-08,1.45,1.46,1.42,1.42,303820,HSG,43
2009-01-09,1.4,1.41,1.36,1.38,264690,HSG,43
2009-01-12,1.37,1.38,1.35,1.37,148180,HSG,43
2009-01-13,1.35,1.38,1.35,1.35,154020,HSG,43
2009-01-14,1.35,1.37,1.34,1.35,197160,HSG,43
2009-01-15,1.34,1.36,1.33,1.35,185720,HSG,43
2009-01-16,1.35,1.42,1.35,1.42,518980,HSG,43
2009-01-19,1.4,1.42,1.35,1.38,183510,HSG,43
2009-01-20,1.36,1.37,1.35,1.36,112140,HSG,43
2009-01-21,1.37,1.37,1.35,1.36,45210,HSG,43
2009-01-22,1.36,1.38,1.36,1.38,74840,HSG,43
2009-01-23,1.37,1.38,1.36,1.37,81790,HSG,43
2009-02-06,1.08,1.13,1.08,1.08,263530,HSG,43
2009-02-09,1.09,1.09,1.05,1.08,193850,HSG,43
2009-02-12,0.93,0.97,0.93,0.93,249790,HSG,43
2009-02-13,0.92,0.92,0.89,0.9,179730,HSG,43
2009-02-16,0.92,0.95,0.9,0.92,289950,HSG,43
2009-02-17,0.94,0.94,0.89,0.89,235630,HSG,43
2009-02-18,0.86,0.87,0.85,0.85,200790,HSG,43
2009-02-19,0.86,0.87,0.81,0.81,158880,HSG,43
2009-02-20,0.78,0.79,0.78,0.78,184230,HSG,43
2009-02-25,0.71,0.73,0.7,0.73,429010,HSG,43
2009-02-26,0.69,0.71,0.69,0.69,308440,HSG,43
2009-02-27,0.68,0.69,0.68,0.68,107210,HSG,43
2009-03-02,0.67,0.68,0.66,0.68,204840,HSG,43
2009-03-03,0.67,0.68,0.65,0.65,345960,HSG,43
2009-03-04,0.65,0.67,0.65,0.65,148080,HSG,43
2009-03-05,0.66,0.67,0.64,0.65,152500,HSG,43
2009-03-06,0.65,0.67,0.65,0.67,216970,HSG,43
2009-03-09,0.68,0.7,0.68,0.7,386620,HSG,43
2009-03-12,0.8,0.8,0.74,0.8,1505930,HSG,43
2009-03-13,0.8,0.82,0.79,0.81,574330,HSG,43
2009-03-16,0.81,0.81,0.79,0.79,255150,HSG,43
2009-03-17,0.8,0.83,0.8,0.81,344540,HSG,43
2009-03-18,0.84,0.85,0.82,0.85,789550,HSG,43
2009-03-19,0.88,0.89,0.85,0.85,604190,HSG,43
2009-03-20,0.82,0.87,0.82,0.84,228300,HSG,43
2009-03-23,0.84,0.84,0.81,0.81,309460,HSG,43
2009-03-25,0.83,0.88,0.83,0.88,782650,HSG,43
2009-03-26,0.91,0.92,0.89,0.92,492470,HSG,43
2009-03-27,0.92,0.93,0.87,0.87,620330,HSG,43
2009-03-30,0.83,0.87,0.83,0.83,462480,HSG,43
2009-03-31,0.81,0.83,0.8,0.81,538010,HSG,43
2009-04-01,0.83,0.84,0.81,0.84,267730,HSG,43
2009-04-07,0.94,0.97,0.91,0.97,611150,HSG,43
2009-04-08,0.96,1.01,0.94,0.96,1001860,HSG,43
