date,open,high,low,close,volume,ticker,ticker_id
2010-05-12,4.92,4.92,4.77,4.77,391360,IJC,47
2010-05-13,4.77,4.92,4.69,4.69,209770,IJC,47
2010-05-14,4.65,4.72,4.65,4.69,137940,IJC,47
2010-05-17,4.72,4.79,4.47,4.51,114820,IJC,47
2010-05-18,4.37,4.44,4.28,4.28,494880,IJC,47
2010-05-19,4.1,4.1,4.07,4.07,207430,IJC,47
2010-05-20,3.87,4.27,3.87,4.27,389210,IJC,47
2010-05-21,4.06,4.16,4.06,4.06,197810,IJC,47
2010-05-24,4.06,4.06,3.86,3.9,175320,IJC,47
2010-05-25,3.9,3.94,3.76,3.8,104480,IJC,47
2010-05-26,3.93,3.99,3.87,3.99,136690,IJC,47
2010-05-27,4.11,4.11,3.89,4.09,163030,IJC,47
2010-05-28,4.23,4.28,4.21,4.28,233150,IJC,47
2010-05-31,4.13,4.28,4.07,4.09,123800,IJC,47
2010-06-01,3.97,4.11,3.97,4.11,127200,IJC,47
2010-06-02,4.0,4.16,3.94,4.16,143970,IJC,47
2010-06-03,4.28,4.28,4.06,4.14,373470,IJC,47
2010-06-04,4.14,4.14,4.06,4.07,79800,IJC,47
2010-06-07,3.89,3.94,3.87,3.87,243660,IJC,47
2010-06-08,3.87,3.87,3.8,3.86,88120,IJC,47
2010-06-09,3.92,3.94,3.75,3.75,110560,IJC,47
2010-06-10,3.86,3.93,3.8,3.9,165720,IJC,47
2010-06-11,4.0,4.0,3.89,3.89,89000,IJC,47
2010-06-14,3.94,4.02,3.89,3.99,145650,IJC,47
2010-06-15,4.0,4.03,3.96,4.0,201710,IJC,47
2010-06-16,4.13,4.2,4.02,4.2,297320,IJC,47
2010-06-17,4.33,4.4,4.24,4.4,488420,IJC,47
2010-06-18,4.4,4.47,4.21,4.27,308170,IJC,47
2010-06-21,4.3,4.37,4.27,4.37,198340,IJC,47
2010-06-22,4.3,4.35,4.16,4.18,161880,IJC,47
2010-06-23,4.09,4.35,4.06,4.25,294000,IJC,47
2010-06-24,4.25,4.3,4.23,4.23,180830,IJC,47
2010-06-25,4.14,4.3,4.09,4.14,218050,IJC,47
2010-06-28,4.1,4.21,4.1,4.16,32780,IJC,47
2010-06-29,4.23,4.23,4.06,4.06,80120,IJC,47
2010-06-30,3.92,4.04,3.92,3.94,199370,IJC,47
2010-07-01,3.94,3.96,3.87,3.93,87590,IJC,47
2010-07-02,3.93,4.07,3.93,4.03,111260,IJC,47
2010-07-05,4.13,4.14,4.09,4.09,101540,IJC,47
2010-07-06,4.09,4.09,3.94,3.94,104400,IJC,47
2010-07-07,3.94,3.97,3.93,3.94,66470,IJC,47
2010-07-08,4.02,4.02,3.93,3.93,38620,IJC,47
2010-07-09,3.94,3.97,3.94,3.94,48580,IJC,47
2010-07-12,3.94,3.94,3.93,3.93,37410,IJC,47
2010-07-13,4.07,4.07,3.94,4.06,115080,IJC,47
2010-07-14,4.06,4.11,4.0,4.0,99220,IJC,47
2010-07-15,4.0,4.0,3.94,3.96,42580,IJC,47
2010-07-16,3.93,3.96,3.93,3.93,32520,IJC,47
2010-07-19,3.87,3.93,3.87,3.92,89520,IJC,47
2010-07-20,3.92,3.94,3.9,3.92,75040,IJC,47
2010-07-21,3.92,3.92,3.89,3.89,51180,IJC,47
2010-07-22,3.93,3.93,3.87,3.87,45420,IJC,47
2010-07-23,3.93,3.93,3.82,3.82,82600,IJC,47
2010-07-26,3.87,3.87,3.8,3.82,96320,IJC,47
2010-07-27,3.82,3.86,3.8,3.8,52660,IJC,47
2010-07-28,3.8,3.8,3.69,3.69,35520,IJC,47
2010-07-29,3.69,3.76,3.62,3.76,30890,IJC,47
2010-07-30,3.69,3.83,3.68,3.68,108440,IJC,47
2010-08-02,3.76,3.76,3.68,3.68,35220,IJC,47
2010-08-03,3.73,3.73,3.49,3.55,249700,IJC,47
2010-08-04,3.52,3.52,3.45,3.47,51750,IJC,47
2010-08-05,3.51,3.51,3.41,3.41,52380,IJC,47
2010-08-06,3.47,3.47,3.34,3.34,199750,IJC,47
2010-08-09,3.34,3.34,3.18,3.18,129840,IJC,47
2010-08-10,3.07,3.1,3.03,3.03,130000,IJC,47
2010-08-11,3.03,3.09,2.96,2.97,72740,IJC,47
2010-08-12,2.85,2.86,2.83,2.83,268160,IJC,47
2010-08-13,2.71,2.83,2.69,2.71,144340,IJC,47
2010-08-16,2.76,2.83,2.72,2.83,104660,IJC,47
2010-08-17,2.82,2.82,2.75,2.78,59580,IJC,47
2010-08-18,2.8,2.8,2.65,2.68,116480,IJC,47
2010-08-19,2.68,2.68,2.55,2.62,633620,IJC,47
2010-08-20,2.62,2.62,2.54,2.62,62610,IJC,47
2010-08-23,2.61,2.61,2.54,2.54,78390,IJC,47
2010-08-24,2.41,2.47,2.41,2.41,151070,IJC,47
2010-08-25,2.34,2.34,2.3,2.3,97210,IJC,47
2010-08-26,2.27,2.32,2.2,2.25,325630,IJC,47
2010-08-27,2.17,2.25,2.16,2.21,91820,IJC,47
2010-08-30,2.31,2.31,2.28,2.31,156300,IJC,47
2010-08-31,2.4,2.42,2.38,2.42,213580,IJC,47
2010-09-01,2.54,2.54,2.51,2.54,391970,IJC,47
2010-09-08,2.89,2.92,2.72,2.92,980120,IJC,47
2010-09-09,2.99,3.03,2.83,2.96,386740,IJC,47
2010-09-10,2.9,2.97,2.82,2.82,203170,IJC,47
2010-09-13,2.72,2.83,2.68,2.68,252850,IJC,47
2010-09-14,2.68,2.69,2.58,2.68,120850,IJC,47
2010-09-15,2.72,2.72,2.56,2.61,110470,IJC,47
2010-09-16,2.55,2.61,2.54,2.56,109590,IJC,47
2010-09-17,2.68,2.69,2.68,2.69,101220,IJC,47
2010-09-20,2.82,2.82,2.71,2.82,291480,IJC,47
2010-09-21,2.86,2.96,2.82,2.92,787320,IJC,47
2010-09-22,2.86,2.94,2.86,2.9,157500,IJC,47
2010-09-23,2.82,2.89,2.78,2.82,191100,IJC,47
2010-09-24,2.82,2.86,2.79,2.86,92420,IJC,47
2010-09-27,2.85,2.92,2.8,2.82,195020,IJC,47
2010-09-28,2.9,2.94,2.79,2.79,168340,IJC,47
2010-09-29,2.69,2.82,2.69,2.69,104810,IJC,47
2010-10-01,2.96,2.96,2.92,2.92,983320,IJC,47
2010-10-04,2.86,2.92,2.78,2.78,216360,IJC,47
2010-10-05,2.66,2.75,2.65,2.75,169050,IJC,47
2010-10-06,2.8,2.87,2.75,2.85,174050,IJC,47
2010-10-07,2.86,2.94,2.82,2.82,153320,IJC,47
2010-10-08,2.76,2.82,2.75,2.76,134720,IJC,47
2010-10-11,2.76,2.78,2.71,2.72,46030,IJC,47
2010-10-12,2.69,2.72,2.62,2.72,185070,IJC,47
2010-10-13,2.63,2.79,2.63,2.72,101550,IJC,47
2010-10-14,2.73,2.75,2.69,2.71,63470,IJC,47
2010-10-15,2.71,2.72,2.66,2.72,88420,IJC,47
2010-10-18,2.76,2.76,2.72,2.72,155850,IJC,47
2010-10-19,2.68,2.73,2.61,2.62,129210,IJC,47
2010-10-20,2.61,2.63,2.49,2.61,306660,IJC,47
2010-10-21,2.56,2.66,2.56,2.58,147670,IJC,47
2010-10-22,2.45,2.59,2.45,2.45,71210,IJC,47
2010-10-25,2.45,2.45,2.38,2.44,78510,IJC,47
2010-10-26,2.44,2.55,2.44,2.55,96730,IJC,47
2010-10-27,2.63,2.63,2.47,2.47,27550,IJC,47
2010-10-28,2.4,2.47,2.4,2.4,55320,IJC,47
2010-10-29,2.35,2.42,2.35,2.35,49440,IJC,47
2010-11-01,2.24,2.35,2.24,2.24,134650,IJC,47
2010-11-02,2.17,2.18,2.14,2.16,185580,IJC,47
2010-11-03,2.11,2.23,2.1,2.1,55890,IJC,47
2010-11-04,2.1,2.17,2.09,2.1,120400,IJC,47
2010-11-05,2.2,2.2,2.14,2.2,108840,IJC,47
2010-11-08,2.23,2.23,2.16,2.16,52260,IJC,47
2010-11-09,2.11,2.11,2.06,2.06,76630,IJC,47
2010-11-10,2.1,2.1,2.0,2.0,30270,IJC,47
2010-11-11,1.9,2.0,1.9,1.9,173030,IJC,47
2010-11-12,1.83,1.89,1.82,1.83,148690,IJC,47
2010-11-15,1.86,1.86,1.78,1.78,88390,IJC,47
2010-11-16,1.72,1.8,1.69,1.7,74010,IJC,47
2010-11-17,1.76,1.79,1.75,1.76,83060,IJC,47
2010-11-18,1.79,1.85,1.79,1.85,87060,IJC,47
2010-11-19,1.86,1.86,1.8,1.8,49970,IJC,47
2010-11-22,1.76,1.76,1.73,1.75,44820,IJC,47
2010-11-23,1.76,1.83,1.75,1.83,69020,IJC,47
2010-11-24,1.83,1.86,1.78,1.83,69140,IJC,47
2010-11-25,1.86,1.92,1.86,1.9,80340,IJC,47
2010-11-26,1.94,1.97,1.89,1.96,89770,IJC,47
2010-11-29,1.9,2.0,1.9,2.0,38220,IJC,47
2010-11-30,2.06,2.1,2.06,2.1,146260,IJC,47
2010-12-01,2.11,2.2,2.01,2.18,221430,IJC,47
2010-12-02,2.2,2.28,2.11,2.28,214990,IJC,47
2010-12-03,2.4,2.4,2.38,2.4,116830,IJC,47
2010-12-06,2.49,2.49,2.28,2.4,222410,IJC,47
2010-12-07,2.4,2.4,2.28,2.28,165850,IJC,47
2010-12-14,2.87,2.87,2.76,2.87,948380,IJC,47
2010-12-15,2.93,3.02,2.87,2.89,502000,IJC,47
2010-12-16,2.89,2.89,2.75,2.75,302790,IJC,47
2010-12-17,2.86,2.87,2.65,2.87,292330,IJC,47
2010-12-20,2.89,2.9,2.76,2.76,280960,IJC,47
2010-12-21,2.76,2.82,2.63,2.68,247960,IJC,47
2010-12-22,2.62,2.75,2.62,2.62,190130,IJC,47
2010-12-23,2.69,2.75,2.61,2.75,308260,IJC,47
2010-12-24,2.8,2.87,2.8,2.86,598300,IJC,47
2010-12-27,2.85,2.85,2.78,2.78,64100,IJC,47
2010-12-28,2.82,2.85,2.75,2.82,92340,IJC,47
