date,open,high,low,close,volume,ticker,ticker_id
2011-02-11,4.16,4.18,4.0,4.0,309650,NKG,57
2011-02-14,3.99,4.04,3.99,3.99,151730,NKG,57
2011-02-15,3.94,4.0,3.88,3.94,146650,NKG,57
2011-02-16,3.9,3.94,3.9,3.93,74800,NKG,57
2011-02-17,3.88,3.88,3.75,3.84,46720,NKG,57
2011-02-18,3.87,3.87,3.78,3.78,207480,NKG,57
2011-02-21,3.65,3.65,3.59,3.59,345160,NKG,57
2011-02-22,3.45,3.77,3.45,3.59,166260,NKG,57
2011-02-23,3.74,3.77,3.64,3.64,75210,NKG,57
2011-02-24,3.56,3.71,3.52,3.71,82130,NKG,57
2011-02-25,3.61,3.75,3.61,3.75,73270,NKG,57
2011-02-28,3.83,3.83,3.61,3.64,142270,NKG,57
2011-03-01,3.59,3.64,3.56,3.64,31410,NKG,57
2011-03-02,3.64,3.64,3.46,3.48,151410,NKG,57
2011-03-03,3.33,3.48,3.33,3.4,186200,NKG,57
2011-03-04,3.42,3.42,3.33,3.33,52020,NKG,57
2011-03-07,3.22,3.49,3.22,3.49,34800,NKG,57
2011-03-08,3.49,3.56,3.4,3.4,39460,NKG,57
2011-03-09,3.4,3.4,3.32,3.32,59020,NKG,57
2011-03-10,3.35,3.42,3.35,3.35,142370,NKG,57
2011-03-11,3.49,3.51,3.49,3.51,315760,NKG,57
2011-03-14,3.59,3.59,3.49,3.52,399140,NKG,57
2011-03-15,3.52,3.56,3.51,3.51,233050,NKG,57
2011-03-16,3.51,3.52,3.35,3.35,43510,NKG,57
2011-03-17,3.35,3.46,3.35,3.36,222500,NKG,57
2011-03-18,3.36,3.43,3.35,3.35,163070,NKG,57
2011-03-21,3.51,3.51,3.43,3.51,370300,NKG,57
2011-03-22,3.68,3.68,3.61,3.68,454400,NKG,57
2011-03-23,3.68,3.78,3.59,3.67,264520,NKG,57
2011-03-24,3.7,3.71,3.64,3.68,213280,NKG,57
2011-03-25,3.62,3.67,3.55,3.56,172720,NKG,57
2011-03-28,3.64,3.68,3.58,3.65,220320,NKG,57
2011-03-29,3.62,3.75,3.62,3.71,436650,NKG,57
2011-03-30,3.65,3.72,3.65,3.7,136990,NKG,57
2011-03-31,3.7,3.72,3.67,3.67,240830,NKG,57
2011-04-01,3.61,3.67,3.61,3.64,119120,NKG,57
2011-04-04,3.62,3.65,3.52,3.62,352370,NKG,57
2011-04-05,3.56,3.62,3.56,3.56,132930,NKG,57
2011-04-06,3.62,3.74,3.54,3.74,402640,NKG,57
2011-04-07,3.74,3.86,3.64,3.81,318850,NKG,57
2011-04-08,3.78,3.91,3.71,3.91,379990,NKG,57
2011-04-13,3.91,3.99,3.86,3.91,285080,NKG,57
2011-04-14,3.88,3.91,3.75,3.75,140800,NKG,57
2011-04-15,3.78,3.78,3.71,3.74,130050,NKG,57
2011-04-18,3.7,3.75,3.7,3.7,123670,NKG,57
2011-04-19,3.64,3.74,3.62,3.68,90230,NKG,57
2011-04-20,3.67,3.72,3.67,3.68,44000,NKG,57
2011-04-21,3.68,3.68,3.62,3.62,46480,NKG,57
2011-04-22,3.61,3.61,3.45,3.45,108660,NKG,57
2011-04-25,3.48,3.61,3.45,3.61,220080,NKG,57
2011-04-26,3.56,3.65,3.56,3.61,68170,NKG,57
2011-04-27,3.61,3.64,3.61,3.64,63300,NKG,57
2011-04-28,3.61,3.71,3.61,3.71,94870,NKG,57
2011-04-29,3.58,3.7,3.58,3.64,132640,NKG,57
2011-05-04,3.58,3.67,3.58,3.58,100500,NKG,57
2011-05-05,3.55,3.58,3.52,3.52,22100,NKG,57
2011-05-06,3.48,3.58,3.48,3.52,90800,NKG,57
2011-05-09,3.56,3.7,3.52,3.56,103490,NKG,57
2011-05-10,3.55,3.74,3.55,3.59,66420,NKG,57
2011-05-11,3.56,3.61,3.54,3.54,28940,NKG,57
2011-05-12,3.49,3.52,3.46,3.46,19800,NKG,57
2011-05-13,3.48,3.54,3.46,3.46,34890,NKG,57
2011-05-16,3.43,3.48,3.42,3.48,25200,NKG,57
2011-05-17,3.43,3.43,3.42,3.43,33700,NKG,57
2011-05-18,3.42,3.46,3.39,3.46,22700,NKG,57
2011-05-19,3.46,3.46,3.43,3.43,10280,NKG,57
2011-05-20,3.43,3.43,3.39,3.39,22920,NKG,57
2011-05-23,3.39,3.42,3.32,3.42,54700,NKG,57
2011-05-24,3.42,3.42,3.33,3.33,19540,NKG,57
2011-05-25,3.32,3.32,3.3,3.3,15760,NKG,57
2011-05-26,3.29,3.46,3.27,3.46,34100,NKG,57
2011-05-27,3.4,3.49,3.4,3.49,14500,NKG,57
2011-05-30,3.45,3.48,3.38,3.38,23940,NKG,57
2011-05-31,3.38,3.4,3.38,3.4,5400,NKG,57
2011-06-01,3.4,3.56,3.4,3.56,20130,NKG,57
2011-06-02,3.54,3.74,3.54,3.74,29340,NKG,57
2011-06-03,3.74,3.74,3.56,3.59,101300,NKG,57
2011-06-06,3.56,3.59,3.49,3.49,116000,NKG,57
2011-06-07,3.51,3.67,3.49,3.67,104630,NKG,57
2011-06-08,3.71,3.84,3.61,3.7,75100,NKG,57
2011-06-09,3.7,3.74,3.61,3.74,62900,NKG,57
2011-06-10,3.71,3.91,3.71,3.91,99050,NKG,57
2011-06-13,3.91,4.1,3.84,4.04,88100,NKG,57
2011-06-14,4.03,4.15,3.88,3.88,92930,NKG,57
2011-06-15,3.88,3.88,3.7,3.72,49470,NKG,57
2011-06-16,3.62,3.64,3.59,3.64,36320,NKG,57
2011-06-17,3.49,3.51,3.46,3.46,27300,NKG,57
2011-06-20,3.36,3.36,3.35,3.35,16000,NKG,57
2011-06-21,3.27,3.51,3.27,3.51,31340,NKG,57
2011-06-22,3.45,3.55,3.43,3.46,28200,NKG,57
2011-06-23,3.42,3.49,3.42,3.46,11000,NKG,57
2011-06-24,3.46,3.46,3.4,3.42,18400,NKG,57
2011-06-27,3.42,3.46,3.35,3.46,109810,NKG,57
2011-06-28,3.42,3.52,3.42,3.52,85400,NKG,57
2011-06-29,3.52,3.52,3.38,3.46,59900,NKG,57
2011-06-30,3.45,3.46,3.36,3.36,55410,NKG,57
2011-07-01,3.35,3.35,3.29,3.29,24010,NKG,57
2011-07-04,3.26,3.26,3.22,3.22,29700,NKG,57
2011-07-05,3.22,3.38,3.22,3.38,70000,NKG,57
2011-07-06,3.3,3.35,3.26,3.26,55000,NKG,57
2011-07-07,3.2,3.29,3.2,3.26,48890,NKG,57
2011-07-08,3.2,3.26,3.2,3.2,58500,NKG,57
2011-07-11,3.19,3.2,3.17,3.17,23500,NKG,57
2011-07-12,3.13,3.16,3.13,3.16,52000,NKG,57
2011-07-13,3.14,3.17,3.14,3.17,22660,NKG,57
2011-07-14,3.11,3.19,3.11,3.16,25500,NKG,57
2011-07-15,3.13,3.16,3.11,3.16,30900,NKG,57
2011-07-18,3.13,3.16,3.13,3.16,19690,NKG,57
2011-07-19,3.04,3.13,3.04,3.1,26260,NKG,57
2011-07-20,3.01,3.14,3.01,3.14,30950,NKG,57
2011-07-21,3.1,3.1,3.0,3.0,39900,NKG,57
2011-07-22,3.0,3.0,2.95,3.0,14000,NKG,57
2011-07-25,3.04,3.04,3.0,3.01,38620,NKG,57
2011-07-26,3.01,3.01,2.87,2.87,83240,NKG,57
2011-07-27,2.84,2.94,2.79,2.94,47140,NKG,57
2011-07-28,2.94,2.97,2.84,2.84,76600,NKG,57
2011-07-29,2.87,2.97,2.87,2.97,24330,NKG,57
2011-08-01,2.97,2.97,2.9,2.95,53140,NKG,57
2011-08-02,2.95,2.95,2.91,2.95,41100,NKG,57
2011-08-03,2.94,2.94,2.9,2.94,5300,NKG,57
2011-08-04,2.9,3.0,2.9,3.0,24800,NKG,57
2011-08-05,2.94,2.97,2.91,2.94,21400,NKG,57
2011-08-08,2.95,2.95,2.9,2.9,4000,NKG,57
2011-08-09,2.88,2.88,2.84,2.87,18920,NKG,57
2011-08-10,2.87,2.9,2.87,2.9,38700,NKG,57
2011-08-11,2.87,2.9,2.85,2.9,37900,NKG,57
2011-08-12,2.9,2.91,2.88,2.91,11900,NKG,57
2011-08-15,2.9,2.91,2.88,2.91,60860,NKG,57
2011-08-16,2.91,2.92,2.88,2.91,45900,NKG,57
2011-08-17,2.91,2.94,2.91,2.94,29620,NKG,57
2011-08-18,2.94,2.95,2.88,2.88,46510,NKG,57
2011-08-19,2.87,2.9,2.87,2.88,26500,NKG,57
2011-08-22,2.88,2.9,2.87,2.9,30810,NKG,57
2011-08-23,2.88,2.9,2.85,2.88,22420,NKG,57
2011-08-24,2.87,2.9,2.85,2.88,20160,NKG,57
2011-08-25,2.88,2.9,2.85,2.87,52850,NKG,57
2011-08-26,2.87,2.88,2.85,2.88,53250,NKG,57
2011-08-29,2.87,2.9,2.87,2.9,24570,NKG,57
2011-08-30,2.88,2.91,2.87,2.9,42810,NKG,57
2011-08-31,2.87,2.91,2.87,2.91,31630,NKG,57
2011-09-01,2.9,2.94,2.9,2.94,37000,NKG,57
2011-09-05,2.92,2.94,2.87,2.94,30020,NKG,57
2011-09-06,2.92,2.92,2.91,2.92,19500,NKG,57
2011-09-07,2.92,2.94,2.9,2.94,15910,NKG,57
2011-09-08,2.94,2.95,2.94,2.94,22450,NKG,57
2011-09-09,2.91,2.94,2.91,2.94,15500,NKG,57
2011-09-12,2.94,2.97,2.91,2.94,48820,NKG,57
2011-09-13,2.95,3.05,2.95,3.05,59510,NKG,57
2011-09-14,3.05,3.09,2.93,2.93,119340,NKG,57
2011-09-15,2.95,3.03,2.95,3.03,30020,NKG,57
2011-09-16,3.01,3.01,2.99,2.99,17040,NKG,57
2011-09-19,2.93,3.01,2.93,3.01,13000,NKG,57
2011-09-20,2.97,3.01,2.97,3.01,7150,NKG,57
2011-09-21,2.97,3.01,2.97,3.01,3950,NKG,57
2011-09-22,2.99,2.99,2.93,2.99,8600,NKG,57
2011-09-23,2.97,2.97,2.93,2.93,15510,NKG,57
2011-09-26,2.93,2.93,2.88,2.93,13010,NKG,57
2011-09-27,2.93,2.95,2.91,2.95,5560,NKG,57
2011-09-28,2.93,2.95,2.93,2.95,21520,NKG,57
2011-09-29,2.95,2.95,2.93,2.95,21720,NKG,57
2011-09-30,2.95,2.99,2.95,2.99,31000,NKG,57
2011-10-03,2.97,2.99,2.95,2.99,5950,NKG,57
2011-10-04,2.99,2.99,2.91,2.91,27100,NKG,57
2011-10-06,2.93,2.97,2.93,2.97,5280,NKG,57
2011-10-07,2.93,2.95,2.93,2.95,10170,NKG,57
2011-10-10,2.95,2.95,2.93,2.93,6600,NKG,57
2011-10-11,2.93,2.93,2.91,2.93,6010,NKG,57
2011-10-12,2.91,2.91,2.88,2.88,6000,NKG,57
2011-10-13,2.89,2.91,2.89,2.91,14730,NKG,57
2011-10-14,2.91,2.95,2.91,2.95,61930,NKG,57
2011-10-18,2.95,2.95,2.84,2.95,22110,NKG,57
2011-10-19,2.93,2.95,2.89,2.95,56630,NKG,57
2011-10-20,2.95,2.95,2.86,2.95,15010,NKG,57
2011-10-21,2.95,2.95,2.91,2.95,8870,NKG,57
2011-10-24,2.93,2.97,2.89,2.97,22500,NKG,57
2011-10-25,2.97,2.97,2.86,2.97,164650,NKG,57
2011-10-26,2.91,3.01,2.91,3.01,43700,NKG,57
2011-10-27,2.93,2.99,2.93,2.99,32250,NKG,57
2011-10-28,2.97,3.07,2.97,3.07,42680,NKG,57
2011-10-31,2.99,3.01,2.93,2.93,79100,NKG,57
2011-11-01,2.95,2.97,2.89,2.93,30000,NKG,57
2011-11-02,2.91,2.93,2.84,2.93,135960,NKG,57
2011-11-03,2.91,2.91,2.88,2.91,17500,NKG,57
2011-11-04,2.89,2.91,2.88,2.89,48040,NKG,57
2011-11-07,2.89,2.91,2.86,2.89,144910,NKG,57
2011-11-08,2.89,2.89,2.76,2.89,47880,NKG,57
2011-11-09,2.88,2.88,2.82,2.88,11310,NKG,57
2011-11-10,3.01,3.01,2.84,2.84,157400,NKG,57
2011-11-11,2.78,2.88,2.7,2.7,40860,NKG,57
2011-11-14,2.57,2.74,2.57,2.74,153260,NKG,57
2011-11-16,2.51,2.72,2.51,2.7,158320,NKG,57
2011-11-17,2.66,2.7,2.64,2.7,20430,NKG,57
2011-11-18,2.64,2.84,2.64,2.84,17420,NKG,57
2011-11-21,2.8,2.97,2.8,2.97,22630,NKG,57
2011-11-22,2.95,3.11,2.93,3.03,231010,NKG,57
2011-11-23,2.95,2.97,2.95,2.97,15090,NKG,57
2011-11-24,2.89,2.93,2.89,2.93,10600,NKG,57
2011-11-25,2.89,2.89,2.8,2.89,36370,NKG,57
2011-11-28,2.84,2.89,2.76,2.76,30380,NKG,57
2011-11-29,2.62,2.88,2.62,2.88,230030,NKG,57
2011-12-01,2.7,2.84,2.7,2.82,125520,NKG,57
2011-12-02,2.8,2.89,2.7,2.7,123790,NKG,57
2011-12-05,2.72,2.84,2.72,2.84,76980,NKG,57
2011-12-06,2.82,2.84,2.8,2.84,69360,NKG,57
2011-12-08,2.8,2.82,2.8,2.82,12570,NKG,57
2011-12-09,2.8,2.82,2.78,2.82,10770,NKG,57
2011-12-12,2.78,2.84,2.68,2.84,24610,NKG,57
2011-12-13,2.82,2.84,2.7,2.84,23230,NKG,57
2011-12-14,2.8,2.84,2.7,2.84,15610,NKG,57
2011-12-16,2.8,2.82,2.68,2.68,11000,NKG,57
2011-12-19,2.74,2.74,2.66,2.66,22540,NKG,57
2011-12-20,2.64,2.64,2.55,2.55,12870,NKG,57
2011-12-21,2.43,2.66,2.43,2.66,33420,NKG,57
2011-12-22,2.64,2.64,2.62,2.62,3200,NKG,57
2011-12-23,2.62,2.64,2.51,2.64,16350,NKG,57
2011-12-26,2.64,2.64,2.59,2.6,77970,NKG,57
2011-12-27,2.62,2.68,2.57,2.68,151160,NKG,57
2011-12-28,2.64,2.64,2.59,2.59,57980,NKG,57
2011-12-29,2.64,2.64,2.62,2.62,600,NKG,57
2011-12-30,2.64,2.64,2.6,2.64,90340,NKG,57
2012-01-03,2.62,2.64,2.62,2.64,6890,NKG,57
2012-01-04,2.62,2.62,2.53,2.53,5100,NKG,57
2012-01-05,2.51,2.55,2.51,2.55,4060,NKG,57
2012-01-06,2.55,2.57,2.43,2.57,120860,NKG,57
2012-01-09,2.55,2.59,2.55,2.57,22430,NKG,57
2012-01-10,2.55,2.6,2.55,2.57,71320,NKG,57
2012-01-11,2.55,2.57,2.45,2.57,116820,NKG,57
2012-01-12,2.55,2.55,2.45,2.45,29120,NKG,57
2012-01-13,2.49,2.57,2.33,2.57,57090,NKG,57
2012-01-16,2.55,2.6,2.51,2.57,99030,NKG,57
2012-01-17,2.55,2.55,2.53,2.55,6570,NKG,57
2012-01-18,2.43,2.55,2.43,2.55,7570,NKG,57
2012-01-19,2.55,2.57,2.53,2.57,8550,NKG,57
2012-01-20,2.53,2.57,2.53,2.57,7520,NKG,57
2012-01-30,2.55,2.6,2.55,2.6,11590,NKG,57
2012-01-31,2.57,2.59,2.49,2.49,61250,NKG,57
2012-02-01,2.51,2.51,2.37,2.37,58210,NKG,57
2012-02-02,2.37,2.49,2.26,2.49,53520,NKG,57
2012-02-03,2.47,2.49,2.37,2.37,32500,NKG,57
2012-02-06,2.39,2.39,2.26,2.26,17110,NKG,57
2012-02-07,2.16,2.26,2.16,2.26,41660,NKG,57
2012-02-08,2.22,2.22,2.16,2.16,22950,NKG,57
2012-02-09,2.06,2.26,2.06,2.26,40200,NKG,57
2012-02-10,2.22,2.26,2.22,2.26,14790,NKG,57
2012-02-13,2.24,2.26,2.16,2.26,17720,NKG,57
2012-02-15,2.06,2.22,2.06,2.22,42920,NKG,57
2012-02-16,2.2,2.26,2.18,2.26,18330,NKG,57
2012-02-17,2.24,2.3,2.24,2.3,13560,NKG,57
2012-02-20,2.3,2.35,2.28,2.28,29690,NKG,57
2012-02-21,2.3,2.3,2.18,2.28,40170,NKG,57
2012-02-22,2.26,2.3,2.24,2.24,17330,NKG,57
2012-02-23,2.28,2.33,2.28,2.33,123560,NKG,57
2012-02-24,2.33,2.37,2.32,2.37,32170,NKG,57
2012-02-27,2.32,2.39,2.32,2.39,25230,NKG,57
2012-02-28,2.37,2.39,2.37,2.39,3520,NKG,57
2012-02-29,2.37,2.37,2.28,2.28,10000,NKG,57
2012-03-01,2.33,2.33,2.18,2.18,37010,NKG,57
2012-03-02,2.22,2.28,2.22,2.28,25110,NKG,57
2012-03-05,2.3,2.37,2.3,2.32,45300,NKG,57
2012-03-06,2.32,2.33,2.2,2.32,117830,NKG,57
2012-03-07,2.32,2.33,2.28,2.32,20350,NKG,57
2012-03-08,2.28,2.32,2.28,2.32,10300,NKG,57
2012-03-09,2.28,2.32,2.26,2.26,9810,NKG,57
2012-03-12,2.24,2.3,2.24,2.3,12740,NKG,57
2012-03-13,2.28,2.3,2.28,2.3,6540,NKG,57
2012-03-14,2.28,2.3,2.2,2.2,20340,NKG,57
2012-03-15,2.22,2.26,2.2,2.26,14900,NKG,57
2012-03-16,2.18,2.28,2.18,2.26,20000,NKG,57
2012-03-20,2.24,2.24,2.22,2.24,7220,NKG,57
2012-03-21,2.22,2.26,2.22,2.26,12670,NKG,57
2012-03-23,2.24,2.26,2.24,2.24,8180,NKG,57
2012-03-26,2.24,2.26,2.16,2.26,9690,NKG,57
2012-03-27,2.26,2.28,2.26,2.26,12680,NKG,57
2012-03-28,2.26,2.26,2.18,2.26,9300,NKG,57
2012-03-30,2.22,2.24,2.22,2.24,3210,NKG,57
2012-04-03,2.26,2.3,2.26,2.3,14000,NKG,57
2012-04-05,2.26,2.3,2.26,2.3,13330,NKG,57
2012-04-06,2.28,2.3,2.28,2.3,3650,NKG,57
2012-04-09,2.28,2.3,2.28,2.3,7620,NKG,57
2012-04-10,2.28,2.3,2.26,2.3,5160,NKG,57
2012-04-11,2.28,2.33,2.28,2.33,8500,NKG,57
2012-04-12,2.35,2.39,2.35,2.39,15510,NKG,57
2012-04-16,2.39,2.43,2.39,2.43,5120,NKG,57
2012-04-17,2.41,2.47,2.41,2.47,5970,NKG,57
2012-04-18,2.37,2.43,2.35,2.35,15300,NKG,57
2012-04-19,2.35,2.41,2.35,2.41,12970,NKG,57
2012-04-20,2.43,2.43,2.41,2.43,9340,NKG,57
2012-04-23,2.41,2.43,2.41,2.43,4680,NKG,57
2012-04-25,2.43,2.47,2.43,2.47,6410,NKG,57
2012-04-27,2.45,2.53,2.45,2.53,6690,NKG,57
2012-05-02,2.51,2.55,2.51,2.55,6050,NKG,57
2012-05-03,2.51,2.55,2.51,2.51,6930,NKG,57
2012-05-04,2.49,2.6,2.49,2.6,13880,NKG,57
2012-05-07,2.59,2.6,2.59,2.6,4770,NKG,57
2012-05-08,2.59,2.6,2.59,2.59,3610,NKG,57
2012-05-09,2.59,2.59,2.55,2.55,1580,NKG,57
2012-05-10,2.55,2.6,2.55,2.6,12730,NKG,57
2012-05-11,2.6,2.6,2.59,2.59,7800,NKG,57
2012-05-14,2.59,2.59,2.57,2.57,2510,NKG,57
2012-05-15,2.59,2.59,2.57,2.57,840,NKG,57
2012-05-16,2.59,2.59,2.57,2.57,870,NKG,57
2012-05-17,2.59,2.59,2.57,2.57,990,NKG,57
2012-05-18,2.57,2.57,2.53,2.53,1880,NKG,57
2012-05-21,2.53,2.55,2.51,2.55,3350,NKG,57
2012-05-22,2.55,2.55,2.43,2.43,22820,NKG,57
2012-05-23,2.45,2.45,2.32,2.32,39880,NKG,57
2012-05-24,2.33,2.43,2.33,2.43,155050,NKG,57
2012-05-25,2.47,2.55,2.47,2.55,168150,NKG,57
2012-05-28,2.55,2.66,2.55,2.64,197270,NKG,57
2012-05-29,2.7,2.76,2.59,2.76,70580,NKG,57
2012-05-30,2.8,2.89,2.76,2.89,127570,NKG,57
2012-05-31,2.89,3.03,2.88,2.93,175160,NKG,57
2012-06-01,2.99,3.03,2.91,2.99,58220,NKG,57
2012-06-04,2.97,2.97,2.91,2.95,42900,NKG,57
2012-06-05,2.91,3.01,2.84,2.97,82980,NKG,57
2012-06-06,2.95,3.05,2.95,3.05,130150,NKG,57
2012-06-07,3.09,3.18,3.07,3.18,290690,NKG,57
2012-06-08,3.2,3.34,3.18,3.22,319190,NKG,57
2012-06-11,3.2,3.26,3.2,3.24,157800,NKG,57
2012-06-12,3.18,3.26,3.13,3.18,200000,NKG,57
2012-06-13,3.2,3.2,3.05,3.09,220300,NKG,57
2012-06-14,3.09,3.16,3.07,3.09,82180,NKG,57
2012-06-15,3.11,3.24,3.11,3.24,186630,NKG,57
2012-06-18,3.24,3.34,3.24,3.28,118180,NKG,57
2012-06-19,3.26,3.26,3.13,3.22,155600,NKG,57
2012-06-20,3.18,3.26,3.18,3.24,179650,NKG,57
2012-06-21,3.18,3.32,3.16,3.22,115870,NKG,57
2012-06-22,3.22,3.22,3.07,3.09,81850,NKG,57
2012-06-25,3.09,3.11,2.95,2.99,53750,NKG,57
2012-06-26,2.99,2.99,2.89,2.89,59850,NKG,57
2012-06-27,2.91,3.03,2.86,2.86,71350,NKG,57
2012-06-28,2.86,2.89,2.74,2.8,49700,NKG,57
2012-06-29,2.84,2.86,2.82,2.82,56850,NKG,57
2012-07-02,2.82,2.84,2.68,2.76,75500,NKG,57
2012-07-03,2.78,2.78,2.62,2.62,56810,NKG,57
2012-07-04,2.62,2.64,2.55,2.59,20900,NKG,57
