date,open,high,low,close,volume,ticker,ticker_id
2009-04-14,3.37,3.47,3.34,3.4,115190,PNJ,66
2009-04-15,3.24,3.31,3.24,3.24,78290,PNJ,66
2009-04-16,3.34,3.34,3.24,3.27,96830,PNJ,66
2009-04-17,3.24,3.24,3.11,3.18,77480,PNJ,66
2009-04-20,3.18,3.31,3.18,3.24,235860,PNJ,66
2009-04-21,3.4,3.4,3.34,3.4,353670,PNJ,66
2009-04-22,3.57,3.57,3.47,3.53,276250,PNJ,66
2009-04-23,3.44,3.5,3.37,3.37,75150,PNJ,66
2009-04-24,3.24,3.34,3.21,3.27,169850,PNJ,66
2009-04-27,3.27,3.31,3.22,3.24,100970,PNJ,66
2009-04-28,3.19,3.27,3.19,3.27,105180,PNJ,66
2009-04-29,3.24,3.27,3.23,3.23,108840,PNJ,66
2009-05-05,3.53,3.53,3.47,3.47,424560,PNJ,66
2009-05-06,3.4,3.4,3.31,3.31,112930,PNJ,66
2009-05-07,3.37,3.4,3.31,3.4,88860,PNJ,66
2009-05-08,3.27,3.47,3.27,3.4,148470,PNJ,66
2009-05-11,3.37,3.4,3.37,3.37,164050,PNJ,66
2009-05-12,3.34,3.4,3.31,3.4,131070,PNJ,66
2009-05-13,3.37,3.4,3.34,3.37,125860,PNJ,66
2009-05-14,3.31,3.37,3.31,3.34,85580,PNJ,66
2009-05-15,3.4,3.4,3.34,3.37,128400,PNJ,66
2009-05-18,3.37,3.37,3.34,3.37,73730,PNJ,66
2009-05-19,3.37,3.4,3.31,3.34,194140,PNJ,66
2009-05-20,3.34,3.44,3.34,3.44,140070,PNJ,66
2009-05-21,3.44,3.47,3.37,3.4,220190,PNJ,66
2009-05-22,3.4,3.57,3.34,3.57,428050,PNJ,66
2009-05-29,4.47,4.47,4.21,4.47,845580,PNJ,66
2009-06-03,5.12,5.12,5.09,5.12,592590,PNJ,66
2009-06-04,5.28,5.32,5.12,5.28,636590,PNJ,66
2009-06-05,5.41,5.45,5.32,5.38,403030,PNJ,66
2009-06-08,5.45,5.64,5.41,5.64,397840,PNJ,66
2009-06-09,5.38,5.9,5.38,5.87,621990,PNJ,66
2009-06-11,5.51,5.58,5.51,5.58,475310,PNJ,66
2009-06-12,5.64,5.64,5.32,5.45,381890,PNJ,66
2009-06-15,5.45,5.45,5.19,5.22,312180,PNJ,66
2009-06-16,4.96,5.06,4.96,4.96,212600,PNJ,66
2009-06-17,4.77,4.86,4.73,4.83,318500,PNJ,66
2009-06-18,5.06,5.06,4.93,5.06,530960,PNJ,66
2009-06-19,5.28,5.28,5.12,5.28,427710,PNJ,66
2009-06-22,5.12,5.16,5.03,5.03,174050,PNJ,66
2009-06-23,4.8,4.86,4.8,4.8,269310,PNJ,66
2009-06-24,5.03,5.03,4.93,5.03,132820,PNJ,66
2009-06-25,5.03,5.03,4.8,4.8,245730,PNJ,66
2009-06-26,4.73,4.9,4.73,4.86,113740,PNJ,66
2009-06-29,4.77,4.86,4.73,4.73,184200,PNJ,66
2009-06-30,4.67,4.7,4.51,4.51,207480,PNJ,66
2009-07-01,4.31,4.38,4.31,4.34,285800,PNJ,66
2009-07-02,4.41,4.54,4.34,4.47,85950,PNJ,66
2009-07-03,4.41,4.54,4.41,4.47,74580,PNJ,66
2009-07-06,4.54,4.67,4.54,4.67,133640,PNJ,66
2009-07-07,4.67,4.7,4.54,4.54,98020,PNJ,66
2009-07-08,4.54,4.64,4.54,4.6,86720,PNJ,66
2009-07-09,4.7,4.7,4.6,4.7,137050,PNJ,66
2009-07-10,4.7,4.73,4.64,4.7,151680,PNJ,66
2009-07-13,4.77,4.77,4.67,4.67,61030,PNJ,66
2009-07-14,4.64,4.67,4.57,4.6,135370,PNJ,66
2009-07-15,4.57,4.67,4.57,4.67,78400,PNJ,66
2009-07-16,4.73,4.77,4.64,4.67,91570,PNJ,66
2009-07-17,4.67,4.7,4.67,4.67,75130,PNJ,66
2009-07-20,4.64,4.7,4.64,4.7,135350,PNJ,66
2009-07-21,4.7,4.77,4.7,4.73,63540,PNJ,66
2009-07-22,4.77,4.77,4.7,4.73,56270,PNJ,66
2009-07-23,4.7,4.86,4.7,4.86,89260,PNJ,66
2009-07-27,5.09,5.22,5.06,5.09,146680,PNJ,66
2009-07-28,4.99,5.06,4.86,4.86,102710,PNJ,66
2009-07-29,4.93,4.93,4.83,4.83,48970,PNJ,66
2009-07-30,4.8,4.93,4.77,4.83,129810,PNJ,66
2009-07-31,4.9,4.96,4.86,4.96,111990,PNJ,66
2009-08-03,4.93,4.99,4.93,4.96,62580,PNJ,66
2009-08-04,5.12,5.16,5.06,5.16,207250,PNJ,66
2009-08-05,5.22,5.38,5.16,5.38,562120,PNJ,66
2009-08-06,5.38,5.48,5.25,5.32,216600,PNJ,66
2009-08-07,5.25,5.28,5.22,5.22,163590,PNJ,66
2009-08-10,5.35,5.45,5.22,5.45,411250,PNJ,66
2009-08-11,5.41,5.48,5.41,5.48,276460,PNJ,66
2009-08-12,5.58,5.58,5.41,5.48,157540,PNJ,66
2009-08-13,5.55,5.58,5.48,5.48,210190,PNJ,66
2009-08-14,5.55,5.71,5.51,5.64,330440,PNJ,66
2009-08-17,5.68,5.78,5.61,5.64,262410,PNJ,66
2009-08-18,5.64,5.68,5.61,5.68,229640,PNJ,66
2009-08-19,5.78,5.94,5.74,5.94,421610,PNJ,66
