date,open,high,low,close,volume,ticker,ticker_id
2007-12-28,16.34,16.78,16.23,16.78,118800,PVT,69
2008-01-02,16.67,16.67,16.45,16.45,81760,PVT,69
2008-01-03,16.12,16.34,16.12,16.12,80530,PVT,69
2008-01-04,15.78,16.01,15.67,15.67,80130,PVT,69
2008-01-07,15.34,15.34,14.89,14.89,94440,PVT,69
2008-01-08,14.67,15.34,14.56,14.56,155200,PVT,69
2008-01-09,14.45,14.45,13.89,13.89,82810,PVT,69
2008-01-10,13.34,13.34,13.23,13.23,76430,PVT,69
2008-01-11,13.45,13.78,13.34,13.34,153160,PVT,69
2008-01-14,12.89,13.01,12.67,12.67,67310,PVT,69
2008-01-16,12.45,12.67,12.23,12.67,128640,PVT,69
2008-01-17,12.67,12.78,12.12,12.23,112400,PVT,69
2008-01-18,12.0,12.34,11.89,12.23,94710,PVT,69
2008-01-21,12.0,12.23,11.89,12.0,27420,PVT,69
2008-01-22,11.45,11.78,11.45,11.45,118220,PVT,69
2008-01-24,10.78,11.0,10.38,10.38,113600,PVT,69
2008-01-25,9.89,10.36,9.94,10.12,126250,PVT,69
2008-01-28,10.0,10.07,9.65,9.89,85100,PVT,69
2008-01-29,9.89,10.38,9.78,10.38,95470,PVT,69
2008-01-31,11.34,11.34,10.89,11.34,382060,PVT,69
2008-02-13,13.01,13.01,12.12,12.12,340960,PVT,69
2008-02-14,12.45,12.56,12.12,12.34,253370,PVT,69
2008-02-15,12.23,12.23,12.0,12.12,90600,PVT,69
2008-02-19,11.0,11.56,11.0,11.12,148930,PVT,69
2008-02-20,11.12,11.23,10.67,10.67,299510,PVT,69
2008-02-26,10.49,10.49,9.67,9.67,324080,PVT,69
2008-02-27,9.67,10.14,9.47,9.47,203930,PVT,69
2008-02-28,9.78,9.78,9.36,9.78,124830,PVT,69
2008-02-29,9.78,10.23,9.78,10.23,416460,PVT,69
2008-03-03,9.78,9.83,9.72,9.72,118710,PVT,69
2008-03-10,10.14,10.14,9.69,10.12,504630,PVT,69
2008-03-11,9.63,9.78,9.63,9.63,102340,PVT,69
2008-03-12,10.0,10.0,9.47,9.51,79690,PVT,69
2008-03-13,9.51,9.78,9.36,9.78,78710,PVT,69
2008-03-14,9.4,9.56,9.34,9.4,158650,PVT,69
2008-03-17,8.94,8.96,8.94,8.94,111060,PVT,69
2008-03-19,8.91,8.91,8.07,8.07,148740,PVT,69
2008-03-20,8.07,8.23,7.69,7.71,80000,PVT,69
2008-03-21,7.4,7.45,7.34,7.34,94040,PVT,69
2008-03-26,6.34,6.45,6.34,6.34,217860,PVT,69
2008-04-08,6.89,6.89,6.62,6.8,549840,PVT,69
2008-04-17,6.2,6.42,6.2,6.2,275800,PVT,69
2008-04-18,6.09,6.18,6.09,6.09,169590,PVT,69
2008-05-20,4.4,4.4,4.33,4.33,2310,PVT,69
2008-06-09,3.66,3.66,3.59,3.59,1320,PVT,69
2008-06-13,3.32,3.41,3.32,3.37,303890,PVT,69
2008-06-16,3.3,3.43,3.3,3.43,205880,PVT,69
2008-06-18,3.5,3.5,3.43,3.43,200450,PVT,69
2008-06-26,3.25,3.25,3.08,3.08,153480,PVT,69
2008-06-27,2.99,3.16,2.99,3.16,101540,PVT,69
2008-06-30,3.14,3.25,3.1,3.25,79280,PVT,69
2008-07-01,3.34,3.34,3.3,3.34,100470,PVT,69
2008-07-02,3.43,3.43,3.25,3.43,166210,PVT,69
2008-07-07,3.7,3.7,3.52,3.52,272180,PVT,69
2008-07-09,3.48,3.52,3.37,3.52,195510,PVT,69
2008-07-10,3.59,3.61,3.52,3.61,134990,PVT,69
2008-07-16,3.93,4.02,3.79,4.02,566530,PVT,69
2008-07-17,4.13,4.13,4.04,4.13,496800,PVT,69
2008-07-18,4.04,4.04,4.02,4.02,211780,PVT,69
2008-07-29,3.5,3.5,3.32,3.32,569320,PVT,69
2008-08-05,3.41,3.41,3.23,3.25,423420,PVT,69
2008-08-08,3.52,3.52,3.48,3.52,366170,PVT,69
2008-08-20,4.6,4.6,4.49,4.6,926750,PVT,69
2008-08-29,6.37,6.37,5.79,6.37,1266710,PVT,69
2008-09-08,6.98,7.63,6.98,6.98,1084000,PVT,69
2008-09-09,7.32,7.32,6.69,7.05,630830,PVT,69
2008-09-10,7.05,7.05,6.71,6.71,430180,PVT,69
2008-09-15,5.79,6.37,5.79,5.79,411120,PVT,69
2008-09-23,5.76,5.76,5.5,5.76,841480,PVT,69
2008-09-24,6.04,6.04,5.66,6.01,500570,PVT,69
2008-09-25,6.13,6.29,6.13,6.29,322150,PVT,69
2008-09-29,6.92,6.92,6.51,6.92,849550,PVT,69
2008-10-01,6.89,6.89,6.45,6.89,721120,PVT,69
2008-10-02,7.2,7.2,7.14,7.2,367960,PVT,69
2008-10-03,7.11,7.49,7.11,7.36,499430,PVT,69
2008-10-06,7.01,7.08,7.01,7.01,458530,PVT,69
2008-10-09,6.04,6.67,6.04,6.04,660710,PVT,69
2008-10-13,6.01,6.01,5.5,5.69,296530,PVT,69
2008-10-15,6.26,6.26,5.98,6.26,361490,PVT,69
2008-10-16,5.98,6.23,5.98,5.98,268800,PVT,69
2008-10-17,6.23,6.23,5.98,6.2,287490,PVT,69
2008-10-20,6.48,6.48,6.23,6.29,258460,PVT,69
2008-10-21,6.6,6.6,6.32,6.6,258490,PVT,69
2008-10-22,6.29,6.45,6.29,6.29,222460,PVT,69
2008-10-24,5.72,5.94,5.69,5.72,346090,PVT,69
2008-10-27,5.44,5.5,5.44,5.44,435600,PVT,69
2008-10-28,5.19,5.66,5.19,5.63,274630,PVT,69
2008-10-30,5.88,6.16,5.82,6.16,298500,PVT,69
2008-10-31,6.29,6.38,6.26,6.29,293230,PVT,69
2008-11-03,5.98,6.29,5.98,5.98,382420,PVT,69
2008-11-04,5.76,6.26,5.76,6.26,477130,PVT,69
2008-11-05,6.54,6.54,6.45,6.54,454560,PVT,69
2008-11-06,6.23,6.86,6.23,6.29,614440,PVT,69
