date,open,high,low,close,volume,ticker,ticker_id
2008-03-14,3.9,3.97,3.9,3.93,47520,SBT,72
2008-03-17,3.79,3.79,3.75,3.75,124610,SBT,72
2008-03-19,3.46,3.72,3.39,3.39,191760,SBT,72
2008-03-20,3.3,3.37,3.23,3.23,181630,SBT,72
2008-03-21,3.08,3.1,3.08,3.08,147620,SBT,72
2008-03-26,2.7,2.88,2.7,2.72,327290,SBT,72
2008-04-08,2.97,2.97,2.88,2.97,269240,SBT,72
2008-04-10,3.06,3.06,2.97,2.97,275490,SBT,72
2008-04-11,2.92,2.97,2.92,2.97,130430,SBT,72
2008-04-16,2.94,2.94,2.92,2.92,114650,SBT,72
2008-04-17,2.88,2.97,2.88,2.97,63310,SBT,72
2008-04-18,3.01,3.01,2.97,3.01,224600,SBT,72
2008-04-23,3.14,3.14,3.1,3.14,626230,SBT,72
2008-04-24,3.12,3.14,3.1,3.1,232310,SBT,72
2008-04-25,3.08,3.15,3.08,3.15,97270,SBT,72
2008-05-07,3.39,3.39,3.3,3.3,283530,SBT,72
2008-05-16,3.01,3.08,2.98,3.01,416610,SBT,72
2008-05-19,3.01,3.06,3.01,3.06,124660,SBT,72
2008-05-20,3.11,3.11,3.01,3.01,109760,SBT,72
2008-06-18,2.66,2.66,2.56,2.56,386460,SBT,72
2008-06-19,2.49,2.54,2.49,2.49,96250,SBT,72
2008-06-20,2.42,2.44,2.42,2.44,154880,SBT,72
2008-06-24,2.56,2.56,2.54,2.56,300040,SBT,72
2008-06-26,2.71,2.71,2.56,2.61,199730,SBT,72
2008-06-27,2.61,2.69,2.56,2.69,171960,SBT,72
2008-06-30,2.69,2.74,2.64,2.74,100170,SBT,72
2008-07-01,2.78,2.81,2.78,2.81,95630,SBT,72
2008-07-02,2.88,2.88,2.81,2.88,219000,SBT,72
2008-07-03,2.88,2.96,2.88,2.96,202050,SBT,72
2008-07-07,3.03,3.06,2.96,2.96,238150,SBT,72
2008-07-09,2.88,2.91,2.83,2.86,162750,SBT,72
2008-07-10,2.83,2.86,2.81,2.81,249120,SBT,72
2008-07-11,2.83,2.88,2.81,2.88,256940,SBT,72
2008-07-16,2.96,3.11,2.96,2.96,458900,SBT,72
2008-07-17,2.96,2.98,2.88,2.88,395390,SBT,72
2008-07-18,2.81,2.86,2.81,2.81,162360,SBT,72
2008-07-28,2.46,2.46,2.44,2.46,277230,SBT,72
2008-07-29,2.46,2.46,2.42,2.42,199040,SBT,72
2008-07-30,2.39,2.42,2.37,2.37,97780,SBT,72
2008-07-31,2.32,2.37,2.32,2.37,98490,SBT,72
2008-08-01,2.42,2.42,2.39,2.42,181210,SBT,72
2008-08-04,2.42,2.44,2.37,2.37,119570,SBT,72
2008-08-05,2.39,2.39,2.32,2.32,86170,SBT,72
2008-08-07,2.42,2.42,2.39,2.39,66810,SBT,72
2008-08-08,2.37,2.39,2.37,2.39,54190,SBT,72
2008-08-11,2.44,2.44,2.39,2.44,334840,SBT,72
2008-08-12,2.49,2.49,2.39,2.39,279470,SBT,72
2008-08-13,2.37,2.42,2.37,2.37,76140,SBT,72
2008-08-14,2.37,2.42,2.34,2.42,204630,SBT,72
2008-08-18,2.34,2.46,2.34,2.46,461270,SBT,72
2008-08-19,2.37,2.44,2.37,2.37,128240,SBT,72
2008-08-20,2.29,2.37,2.27,2.32,203170,SBT,72
2008-08-21,2.29,2.42,2.29,2.42,237380,SBT,72
2008-08-22,2.49,2.49,2.34,2.37,275630,SBT,72
2008-08-25,2.46,2.46,2.37,2.46,748570,SBT,72
2008-08-27,2.71,2.71,2.64,2.71,942430,SBT,72
2008-08-28,2.59,2.64,2.59,2.59,506800,SBT,72
2008-08-29,2.46,2.56,2.46,2.49,217970,SBT,72
2008-09-04,2.74,2.74,2.59,2.74,1042390,SBT,72
2008-09-10,3.28,3.28,2.98,3.28,2944850,SBT,72
2008-09-11,3.13,3.28,3.13,3.13,1331790,SBT,72
2008-09-12,2.98,3.03,2.98,2.98,456660,SBT,72
2008-09-15,3.13,3.13,3.06,3.13,478790,SBT,72
2008-09-16,3.08,3.11,2.98,2.98,485390,SBT,72
2008-09-17,2.83,2.96,2.83,2.83,920400,SBT,72
2008-09-23,2.93,3.11,2.86,3.01,807040,SBT,72
