date,open,high,low,close,volume,ticker,ticker_id
2009-05-12,2.76,2.8,2.65,2.77,1145200,SHB,73
2009-05-13,2.79,2.83,2.74,2.77,792100,SHB,73
2009-05-14,2.65,2.73,2.59,2.71,646100,SHB,73
2009-05-15,2.76,2.85,2.68,2.85,1343100,SHB,73
2009-05-18,2.85,2.85,2.79,2.82,1406100,SHB,73
2009-05-19,3.01,3.01,2.86,3.01,2239500,SHB,73
2009-05-20,3.15,3.19,3.01,3.18,1583300,SHB,73
2009-05-21,3.21,3.34,3.12,3.34,1642400,SHB,73
2009-05-22,3.38,3.43,3.13,3.28,1236700,SHB,73
2009-05-25,3.4,3.47,3.13,3.47,1349900,SHB,73
2009-05-26,3.68,3.68,3.47,3.67,1455100,SHB,73
2009-05-27,3.73,3.77,3.58,3.67,1309300,SHB,73
2009-05-28,3.65,3.65,3.46,3.47,1379400,SHB,73
2009-05-29,3.56,3.76,3.52,3.76,2490700,SHB,73
2009-06-01,4.0,4.0,3.88,4.0,794400,SHB,73
2009-06-02,4.26,4.26,4.25,4.26,1299400,SHB,73
2009-06-03,4.47,4.56,4.26,4.56,1870100,SHB,73
2009-06-04,4.46,4.76,4.46,4.76,1375000,SHB,73
2009-06-05,5.05,5.05,5.04,5.05,1878000,SHB,73
2009-06-08,5.4,5.4,5.35,5.4,1800100,SHB,73
2009-06-09,5.75,5.77,5.37,5.77,2388300,SHB,73
2009-06-10,5.96,5.96,5.28,5.65,2480500,SHB,73
2009-06-11,5.59,5.89,5.44,5.89,1969600,SHB,73
2009-06-12,5.89,6.2,5.66,5.81,1751300,SHB,73
2009-06-15,5.89,6.04,5.55,6.04,3651900,SHB,73
2009-06-16,5.72,5.89,5.34,5.34,1204400,SHB,73
2009-06-17,5.07,5.52,5.07,5.44,1894700,SHB,73
2009-06-18,5.37,5.52,5.17,5.32,1071600,SHB,73
2009-06-19,5.44,5.52,5.2,5.23,782500,SHB,73
2009-06-22,5.34,5.34,4.96,4.96,225300,SHB,73
2009-06-24,4.32,4.95,4.32,4.95,1644400,SHB,73
2009-06-25,5.07,5.07,4.62,4.76,983400,SHB,73
2009-06-26,4.96,4.96,4.65,4.87,880500,SHB,73
2009-06-29,4.92,4.92,4.77,4.89,622800,SHB,73
2009-06-30,4.92,5.14,4.62,4.77,655200,SHB,73
2009-07-01,4.62,4.7,4.58,4.58,919900,SHB,73
2009-07-02,4.47,4.79,4.32,4.62,846800,SHB,73
2009-07-03,4.56,4.56,4.32,4.53,539000,SHB,73
2009-07-06,4.62,4.8,4.61,4.8,801500,SHB,73
2009-07-07,4.99,5.04,4.77,4.8,516900,SHB,73
2009-07-08,4.77,4.82,4.65,4.76,325900,SHB,73
2009-07-09,4.76,4.83,4.7,4.71,287700,SHB,73
2009-07-10,4.82,5.08,4.82,5.08,3817100,SHB,73
2009-07-13,5.37,5.4,5.31,5.31,3283100,SHB,73
2009-07-14,5.4,5.52,4.99,5.07,840400,SHB,73
2009-07-15,5.07,5.55,4.92,5.31,1092800,SHB,73
2009-07-16,5.52,5.52,5.19,5.28,354700,SHB,73
2009-07-17,5.4,5.4,4.98,4.99,321500,SHB,73
2009-07-20,4.99,4.99,4.74,4.76,261600,SHB,73
2009-07-21,4.76,4.9,4.64,4.77,349900,SHB,73
2009-07-22,4.86,4.89,4.62,4.83,333600,SHB,73
2009-07-23,4.86,5.13,4.74,5.13,645100,SHB,73
2009-07-24,5.32,5.32,5.22,5.32,1230600,SHB,73
2009-07-27,5.68,5.68,5.37,5.62,1534400,SHB,73
2009-07-28,5.74,5.74,5.22,5.28,1076100,SHB,73
2009-07-29,5.16,5.52,5.14,5.22,783300,SHB,73
2009-07-30,5.08,5.32,4.98,5.07,825300,SHB,73
2009-07-31,5.14,5.29,5.1,5.16,930300,SHB,73
2009-08-03,5.34,5.34,5.02,5.02,546300,SHB,73
2009-08-04,5.22,5.32,5.1,5.17,656700,SHB,73
2009-08-05,5.17,5.28,5.08,5.13,664000,SHB,73
2009-08-06,5.13,5.13,4.84,4.89,2494700,SHB,73
2009-08-07,4.77,4.82,4.65,4.67,3247700,SHB,73
2009-08-10,4.67,5.02,4.62,4.83,2357600,SHB,73
2009-08-11,4.92,4.96,4.76,4.8,1410500,SHB,73
2009-08-12,4.8,4.84,4.73,4.73,2612700,SHB,73
2009-08-13,4.86,5.04,4.74,4.8,2578700,SHB,73
2009-08-14,4.82,4.89,4.7,4.77,2337000,SHB,73
2009-08-17,4.76,4.79,4.62,4.7,1432100,SHB,73
2009-08-18,4.68,4.68,4.55,4.62,1680800,SHB,73
2009-08-19,4.62,4.7,4.59,4.64,1380300,SHB,73
2009-08-20,4.7,4.7,4.59,4.62,1150200,SHB,73
2009-08-21,4.68,4.9,4.62,4.74,2648100,SHB,73
2009-08-24,4.84,4.84,4.7,4.76,1421100,SHB,73
2009-08-25,4.76,4.77,4.67,4.67,742300,SHB,73
2009-08-26,4.65,4.7,4.62,4.65,1364400,SHB,73
2009-08-27,4.64,4.7,4.56,4.61,1464100,SHB,73
2009-08-28,4.5,4.68,4.5,4.68,1443400,SHB,73
2009-08-31,4.76,4.8,4.7,4.8,2739800,SHB,73
2009-09-01,4.74,4.82,4.7,4.73,1491600,SHB,73
2009-09-03,4.74,4.74,4.61,4.62,1306100,SHB,73
2009-09-04,4.64,4.67,4.5,4.55,1074500,SHB,73
2009-09-07,4.58,4.58,4.32,4.46,1331100,SHB,73
2009-09-08,4.47,4.58,4.44,4.53,912200,SHB,73
2009-09-09,4.55,4.56,4.41,4.47,742800,SHB,73
2009-09-10,4.47,4.47,4.4,4.46,1159200,SHB,73
