date,open,high,low,close,volume,ticker,ticker_id
2007-11-02,21.34,21.34,20.92,21.34,353070,TCM,81
2007-11-05,22.18,22.4,21.34,22.4,434260,TCM,81
2007-11-07,22.82,23.66,22.4,22.4,387900,TCM,81
2007-11-14,18.38,19.23,18.38,19.01,617520,TCM,81
2007-11-15,18.06,18.91,18.06,18.06,267120,TCM,81
2007-11-16,17.85,18.49,17.85,18.17,234820,TCM,81
2007-11-19,17.96,18.06,17.54,17.54,64510,TCM,81
2007-11-20,17.01,17.11,16.69,16.69,142530,TCM,81
2007-11-21,15.95,16.16,15.95,15.95,160970,TCM,81
2007-11-22,15.63,16.59,15.32,15.74,431610,TCM,81
2007-11-23,15.85,15.85,15.42,15.42,105620,TCM,81
2007-11-26,15.74,16.16,15.74,16.16,112660,TCM,81
2007-11-27,16.48,16.69,16.06,16.06,224830,TCM,81
2007-11-28,16.27,16.27,15.85,15.85,74660,TCM,81
2007-11-29,16.06,16.06,15.85,16.06,78940,TCM,81
2007-11-30,16.16,16.8,16.16,16.8,78570,TCM,81
2007-12-03,17.32,17.54,16.9,17.54,170480,TCM,81
2007-12-04,17.54,18.17,17.32,17.75,260240,TCM,81
2007-12-05,17.75,17.75,17.43,17.43,134040,TCM,81
2007-12-06,17.22,17.22,16.8,17.11,119570,TCM,81
2007-12-07,17.01,17.32,17.01,17.32,72490,TCM,81
2007-12-10,16.69,16.9,16.69,16.69,98500,TCM,81
2007-12-11,16.69,16.69,16.06,16.06,46030,TCM,81
2007-12-12,15.85,16.69,15.85,16.16,58050,TCM,81
2007-12-13,16.16,16.16,15.74,15.74,66400,TCM,81
2007-12-14,15.95,16.06,15.85,15.85,40820,TCM,81
2007-12-17,15.85,15.95,15.85,15.85,52560,TCM,81
2007-12-18,15.85,16.06,15.85,16.06,64790,TCM,81
2007-12-19,16.59,16.8,16.48,16.69,61600,TCM,81
2007-12-20,16.48,16.59,16.06,16.16,55510,TCM,81
2007-12-21,16.16,16.48,16.16,16.27,24400,TCM,81
2007-12-24,16.37,16.37,15.85,15.85,115820,TCM,81
2007-12-25,15.85,15.95,15.74,15.85,33670,TCM,81
2007-12-26,15.85,16.06,15.74,15.95,46590,TCM,81
2007-12-27,15.85,15.95,15.74,15.74,58960,TCM,81
2007-12-28,15.74,15.85,15.74,15.85,29070,TCM,81
2008-01-02,15.85,15.95,15.74,15.74,23130,TCM,81
2008-01-03,15.63,15.63,15.42,15.42,31570,TCM,81
2008-01-04,15.42,15.42,15.11,15.21,49020,TCM,81
2008-01-07,15.0,15.0,14.47,14.47,60570,TCM,81
2008-01-08,14.79,14.89,14.68,14.79,82620,TCM,81
2008-01-09,14.37,14.47,14.16,14.16,57190,TCM,81
2008-01-10,13.73,13.94,13.52,13.52,111220,TCM,81
2008-01-11,13.52,13.94,13.63,13.63,104470,TCM,81
2008-01-14,13.31,13.31,12.99,12.99,67140,TCM,81
2008-01-15,12.36,12.47,12.36,12.36,87880,TCM,81
2008-01-17,13.42,13.52,12.57,12.89,132670,TCM,81
2008-01-18,12.89,13.2,12.78,13.2,71560,TCM,81
2008-01-21,13.2,13.2,12.78,12.99,35330,TCM,81
2008-01-22,12.47,12.68,12.47,12.47,88030,TCM,81
2008-01-23,12.04,12.15,11.94,11.94,118580,TCM,81
2008-01-24,12.04,12.25,11.41,11.41,107020,TCM,81
2008-01-25,11.2,11.83,11.2,11.62,73940,TCM,81
2008-01-28,11.73,11.83,11.62,11.73,42640,TCM,81
2008-01-29,11.73,12.25,11.73,12.25,105870,TCM,81
2008-01-31,12.68,13.2,12.47,13.2,166930,TCM,81
2008-02-01,13.73,13.84,13.52,13.84,116390,TCM,81
2008-02-12,13.84,13.84,13.2,13.2,62490,TCM,81
2008-02-13,13.2,13.2,12.57,12.57,64930,TCM,81
2008-02-14,12.57,12.99,12.57,12.89,65160,TCM,81
2008-02-15,12.78,12.78,12.47,12.47,73080,TCM,81
2008-02-18,11.94,12.36,11.94,12.36,152430,TCM,81
2008-02-19,11.83,12.25,11.83,12.04,47800,TCM,81
2008-02-20,11.94,12.04,11.51,11.51,110070,TCM,81
2008-02-22,10.44,10.46,10.44,10.44,137720,TCM,81
2008-02-25,10.78,10.88,10.67,10.88,161790,TCM,81
2008-02-26,10.78,10.46,10.35,10.35,85480,TCM,81
2008-02-27,9.85,10.56,9.85,9.87,114120,TCM,81
2008-02-28,9.63,9.87,9.61,9.63,50460,TCM,81
2008-02-29,9.61,9.61,9.17,9.17,71140,TCM,81
2008-03-10,9.11,9.11,8.66,9.04,367150,TCM,81
2008-03-11,8.62,9.04,8.6,8.6,81550,TCM,81
2008-03-12,8.07,8.66,8.07,8.24,107420,TCM,81
2008-03-13,8.24,8.45,8.13,8.35,52950,TCM,81
2008-03-14,8.03,8.13,7.94,7.94,134700,TCM,81
2008-03-19,6.85,7.18,6.85,6.85,158180,TCM,81
2008-03-20,6.51,6.76,6.51,6.51,110330,TCM,81
2008-03-26,5.35,5.6,5.35,5.35,290740,TCM,81
2008-03-27,5.37,5.39,5.3,5.39,129220,TCM,81
2008-04-08,5.85,5.85,5.64,5.64,295890,TCM,81
2008-04-17,5.13,5.3,5.13,5.3,73710,TCM,81
2008-04-18,5.24,5.24,5.2,5.2,25680,TCM,81
2008-04-29,4.61,4.75,4.61,4.61,147000,TCM,81
2008-05-12,4.18,4.18,4.12,4.12,1340,TCM,81
2008-05-13,4.12,4.12,4.06,4.06,270,TCM,81
2008-06-03,3.36,3.36,3.3,3.3,250,TCM,81
2008-06-13,2.75,2.83,2.75,2.83,127010,TCM,81
2008-06-18,2.96,2.96,2.87,2.87,179500,TCM,81
2008-06-23,2.66,2.79,2.66,2.75,100970,TCM,81
2008-06-24,2.79,2.81,2.77,2.81,69610,TCM,81
2008-06-25,2.85,2.87,2.83,2.87,63550,TCM,81
2008-06-26,2.94,2.96,2.79,2.79,132540,TCM,81
2008-06-27,2.75,2.83,2.73,2.77,144420,TCM,81
2008-06-30,2.7,2.75,2.7,2.7,212240,TCM,81
2008-07-01,2.77,2.77,2.75,2.77,175970,TCM,81
2008-07-02,2.83,2.83,2.75,2.83,263260,TCM,81
2008-07-07,3.08,3.08,2.92,2.92,325140,TCM,81
2008-07-08,2.83,3.0,2.83,3.0,142030,TCM,81
2008-07-09,3.08,3.08,3.04,3.08,194070,TCM,81
2008-07-10,3.13,3.17,3.11,3.17,259720,TCM,81
2008-07-16,3.51,3.51,3.34,3.51,503320,TCM,81
2008-07-18,3.49,3.7,3.49,3.51,616150,TCM,81
2008-07-28,3.0,3.15,3.0,3.0,245350,TCM,81
2008-07-29,3.08,3.08,2.96,3.0,237160,TCM,81
2008-07-30,2.94,2.94,2.92,2.92,102380,TCM,81
2008-08-07,2.49,2.6,2.49,2.56,392390,TCM,81
2008-08-08,2.56,2.6,2.49,2.56,90880,TCM,81
2008-08-12,2.68,2.68,2.62,2.68,161210,TCM,81
2008-08-13,2.68,2.73,2.62,2.68,140250,TCM,81
2008-08-14,2.66,2.75,2.66,2.75,149720,TCM,81
2008-08-15,2.81,2.81,2.79,2.81,200400,TCM,81
2008-08-18,2.94,2.94,2.81,2.89,143970,TCM,81
2008-08-19,2.79,2.85,2.77,2.77,125270,TCM,81
2008-08-20,2.64,2.68,2.64,2.64,124280,TCM,81
2008-08-21,2.58,2.77,2.58,2.77,250870,TCM,81
2008-08-22,2.89,2.89,2.79,2.89,337800,TCM,81
2008-08-28,3.46,3.46,3.32,3.46,998140,TCM,81
2008-08-29,3.63,3.63,3.49,3.63,448000,TCM,81
2008-09-05,4.18,4.18,4.12,4.18,525020,TCM,81
2008-09-09,3.89,4.18,3.8,3.8,522470,TCM,81
2008-09-10,3.85,3.85,3.61,3.61,251090,TCM,81
2008-09-15,3.13,3.42,3.13,3.34,439970,TCM,81
2008-09-19,2.85,3.02,2.85,3.02,204330,TCM,81
2008-09-23,3.02,3.17,3.02,3.02,245600,TCM,81
2008-09-24,2.87,2.89,2.87,2.87,104450,TCM,81
2008-09-25,2.87,3.0,2.87,2.94,64620,TCM,81
2008-09-26,3.06,3.06,2.85,2.94,95820,TCM,81
2008-09-29,2.85,2.94,2.81,2.81,149950,TCM,81
2008-10-01,2.7,2.75,2.58,2.64,66920,TCM,81
2008-10-02,2.75,2.77,2.64,2.77,122670,TCM,81
2008-10-03,2.85,2.89,2.77,2.89,186050,TCM,81
2008-10-06,2.79,2.83,2.77,2.77,193080,TCM,81
2008-10-08,2.51,2.51,2.32,2.32,190800,TCM,81
2008-10-09,2.22,2.43,2.22,2.22,207520,TCM,81
2008-10-10,2.22,2.28,2.18,2.26,106980,TCM,81
2008-10-13,2.32,2.32,2.16,2.18,79280,TCM,81
2008-10-15,2.39,2.39,2.32,2.39,148170,TCM,81
2008-10-16,2.28,2.3,2.28,2.28,64290,TCM,81
2008-10-17,2.28,2.37,2.24,2.32,78880,TCM,81
2008-10-20,2.32,2.32,2.22,2.22,32830,TCM,81
2008-10-21,2.32,2.32,2.24,2.3,54090,TCM,81
2008-10-22,2.22,2.28,2.2,2.28,22930,TCM,81
2008-10-23,2.2,2.22,2.18,2.18,79920,TCM,81
2008-10-24,2.16,2.18,2.16,2.16,32290,TCM,81
2008-10-27,2.05,2.07,2.05,2.05,84370,TCM,81
2008-10-29,2.05,2.05,1.99,2.05,55830,TCM,81
2008-10-30,2.05,2.11,2.01,2.11,62630,TCM,81
2008-10-31,2.16,2.16,2.07,2.11,29860,TCM,81
2008-11-03,2.01,2.05,2.01,2.01,55800,TCM,81
2008-11-04,1.99,2.09,1.96,2.09,57930,TCM,81
2008-11-05,2.18,2.18,2.16,2.18,69780,TCM,81
2008-11-06,2.07,2.18,2.07,2.07,82210,TCM,81
2008-11-07,1.99,2.01,1.99,1.99,100440,TCM,81
2008-11-10,2.05,2.05,1.99,2.03,40930,TCM,81
2008-11-11,1.96,2.03,1.94,1.96,39370,TCM,81
2008-11-18,2.45,2.45,2.35,2.39,656270,TCM,81
2008-11-19,2.32,2.37,2.28,2.28,173690,TCM,81
2008-11-24,2.05,2.09,2.01,2.03,269240,TCM,81
2008-11-25,2.03,2.11,2.01,2.07,79850,TCM,81
2008-11-26,2.05,2.11,2.01,2.01,60840,TCM,81
2008-11-27,1.99,2.01,1.92,1.92,119290,TCM,81
2008-11-28,2.01,2.01,1.99,2.01,47940,TCM,81
2008-12-01,2.01,2.07,1.96,2.05,96140,TCM,81
2008-12-02,1.99,2.03,1.99,1.99,49620,TCM,81
2008-12-03,1.99,2.01,1.96,2.01,42400,TCM,81
2008-12-04,2.01,2.05,1.99,2.01,53860,TCM,81
2008-12-05,1.96,1.99,1.92,1.94,140770,TCM,81
2008-12-08,1.9,1.9,1.86,1.86,80680,TCM,81
2008-12-09,1.88,1.9,1.84,1.88,28250,TCM,81
2008-12-10,1.9,1.9,1.8,1.8,38020,TCM,81
2008-12-11,1.86,1.86,1.77,1.82,14000,TCM,81
2008-12-12,1.86,1.9,1.86,1.9,87600,TCM,81
2008-12-15,1.96,1.96,1.9,1.9,38490,TCM,81
2008-12-16,1.84,1.9,1.82,1.82,47010,TCM,81
2008-12-17,1.77,1.88,1.77,1.88,24820,TCM,81
2008-12-18,1.88,1.88,1.84,1.86,19410,TCM,81
2008-12-19,1.86,1.88,1.84,1.86,31320,TCM,81
2008-12-22,1.86,1.88,1.82,1.86,45960,TCM,81
2008-12-23,1.82,1.84,1.77,1.77,35640,TCM,81
2008-12-24,1.77,1.77,1.73,1.73,26000,TCM,81
2008-12-25,1.73,1.8,1.73,1.75,18860,TCM,81
2008-12-26,1.8,1.84,1.8,1.84,40600,TCM,81
