date,open,high,low,close,volume,ticker,ticker_id,hl_range,body_ratio,close_position,return_1d,obv_change,return_5d,rsi,atr_ratio,ema_ratio,bb_pctb,volume_ratio,vol_trend,macd_hist,label
2007-12-12,3.64,3.83,3.57,3.57,69200,TNG,83,0.07282913165266114,0.2692307692307701,0.0,-0.0027932960893854997,-0.5592862210533477,-0.12713936430317851,24.297772792259636,0.07547220367807124,-0.025551426343242256,0.41388022464776414,0.5846569787090233,0.3682471392647704,-0.0229913804864565,1
2007-12-13,3.77,3.77,3.61,3.65,19400,TNG,83,0.043835616438356206,0.75,0.25,0.022408963585434094,-0.5592862210533477,-0.11407766990291268,26.715032860655782,0.07547220367807124,-0.020355395521487685,0.44322670441963374,0.16763155620841613,0.5797934006260156,-0.014106748996257377,0
2007-12-14,3.64,3.7,3.54,3.64,22600,TNG,83,0.043956043956043994,0.0,0.625,-0.002739726027397249,-0.5359580052493438,-0.08080808080808077,26.600691765345033,0.07547220367807124,-0.017258320301073216,0.3497613516755295,0.1994704324801412,0.43327376079373553,-0.007984127984744988,0
2007-12-17,3.64,3.64,3.38,3.4,31900,TNG,83,0.07647058823529419,0.9230769230769231,0.07692307692307693,-0.06593406593406603,-0.5160320641282565,-0.0884718498659518,23.9511600998801,0.07547220367807124,-0.035523217892268755,0.10706304974139667,0.34095767421975204,0.737501959983971,-0.02711195061446442,1
2007-12-18,3.42,3.57,3.32,3.51,42800,TNG,83,0.07122507122507123,0.35999999999999943,0.7599999999999998,0.03235294117647047,-0.24678972712680577,-0.019553072625698387,27.514783098376213,0.07547220367807124,-0.030285203733547927,0.27168964060409384,0.5696034069736492,0.9803771108546825,-0.015849504960252093,1
2007-12-19,3.57,3.76,3.57,3.7,42900,TNG,83,0.05135135135135133,0.6842105263157915,0.6842105263157915,0.054131054131054235,0.2811111111111111,0.036414565826330625,33.32642075158677,0.07547220367807124,-0.008579775900026676,0.5173608035599176,0.7129798903107861,1.3048290104909916,0.012703467973879612,0
2007-12-20,3.64,3.67,3.39,3.54,26200,TNG,83,0.07909604519774005,0.3571428571428577,0.5357142857142858,-0.043243243243243246,0.025075225677031094,-0.03013698630136985,31.067473510586325,0.07547220367807124,-0.013020262703234309,0.34662936870337996,0.48046946634879883,1.4110002685860445,0.006453870810847806,0
2007-12-21,3.57,3.67,3.51,3.54,19400,TNG,83,0.04519774011299439,0.1874999999999986,0.1875000000000014,0.0,0.15610859728506787,-0.027472527472527486,31.067473510586325,0.07547220367807124,-0.013691446056474987,0.37573194211631683,0.4775972427375677,1.0507039593392147,0.0047794461829477886,0
2007-12-24,3.57,3.61,3.52,3.54,26900,TNG,83,0.025423728813559282,0.3333333333333317,0.22222222222222276,0.0,0.4106280193236715,0.04117647058823537,31.067473510586325,0.07547220367807124,-0.012742190725108071,0.41523337416910416,0.7652916073968705,1.0867924533002324,0.004993520411906115,0
2007-12-25,3.51,3.54,3.46,3.52,15300,TNG,83,0.02272727272727275,0.12500000000000278,0.75,-0.005649717514124353,0.007458710708577517,0.002849002849002913,30.7421498035404,0.07547220367807124,-0.012996002330774803,0.37295232270506345,0.4832596336070752,0.6038594405817331,0.0037321553244281797,0
2007-12-26,3.45,3.57,3.45,3.51,22000,TNG,83,0.034188034188034094,0.49999999999999817,0.49999999999999817,-0.0028409090909091717,-0.2753686036426713,-0.05135135135135149,30.569781740469708,0.07547220367807124,-0.012833422127029537,0.3628150788088167,0.8166295471417966,0.13689091335967785,0.00311105095029926,1
2007-12-27,3.6,3.6,3.54,3.54,10800,TNG,83,0.016949152542372895,1.0,0.0,0.008547008547008517,-0.12964774951076322,0.0,31.805104305261594,0.07547220367807124,-0.008918382781156864,0.4867824735713654,0.41411042944785276,0.18189022227275337,0.006819525029588588,0
2007-12-28,3.54,3.56,3.48,3.51,22200,TNG,83,0.022792022792022814,0.3750000000000028,0.3749999999999972,-0.008474576271186529,-0.2382583170254403,-0.008474576271186529,31.20714643534197,0.07422768137947876,-0.009202522285465031,0.4238169740504464,0.8525345622119815,0.22083176544939448,0.005192289682185134,0
