date,open,high,low,close,volume,ticker,ticker_id
2005-12-02,2.54,2.54,2.37,2.46,2700,VSH,99
2005-12-05,2.37,2.37,2.35,2.35,12000,VSH,99
2005-12-09,2.33,2.33,2.31,2.33,7100,VSH,99
2005-12-23,2.35,2.48,2.35,2.48,900,VSH,99
2005-12-28,2.42,2.42,2.37,2.37,30000,VSH,99
2005-12-30,2.37,2.52,2.37,2.52,48500,VSH,99
2006-01-06,2.38,2.38,2.37,2.37,1300,VSH,99
2006-01-18,2.46,2.48,2.46,2.46,2000,VSH,99
2006-02-06,2.52,2.54,2.52,2.52,12100,VSH,99
2006-02-08,2.54,2.56,2.54,2.54,24400,VSH,99
2006-02-10,2.6,2.6,2.56,2.56,11700,VSH,99
2006-02-22,2.64,2.68,2.64,2.68,15400,VSH,99
2006-02-24,2.72,2.72,2.68,2.72,15600,VSH,99
2006-03-01,2.93,3.03,2.93,2.99,15100,VSH,99
2006-03-03,3.29,3.29,3.18,3.26,10500,VSH,99
2006-03-06,3.35,3.58,3.35,3.52,32900,VSH,99
2006-03-10,4.21,4.21,3.87,4.12,72200,VSH,99
2006-03-13,4.08,4.23,3.93,3.96,70600,VSH,99
2006-03-15,4.12,4.19,4.08,4.12,55600,VSH,99
2006-03-17,4.12,4.23,3.96,4.14,72400,VSH,99
2006-03-20,4.19,4.29,4.14,4.19,64700,VSH,99
2006-03-22,4.23,4.39,4.19,4.33,122800,VSH,99
2006-03-24,4.35,4.75,4.35,4.63,95000,VSH,99
2006-03-27,4.86,5.09,4.71,4.83,40600,VSH,99
2006-03-29,5.32,5.32,4.35,5.32,132400,VSH,99
2006-04-03,6.4,6.4,5.84,6.19,176900,VSH,99
2006-04-05,6.63,6.76,6.07,6.22,83100,VSH,99
2006-04-07,6.38,6.38,5.86,6.09,47500,VSH,99
2006-04-10,5.65,5.65,5.48,5.52,119000,VSH,99
2006-04-12,5.55,5.55,4.98,5.06,230100,VSH,99
2006-04-14,5.5,5.57,5.23,5.5,56400,VSH,99
2006-04-19,6.38,6.63,6.28,6.38,192800,VSH,99
2006-04-21,6.95,6.95,6.28,6.45,282200,VSH,99
